ENTRY            14833   20240822                             15141483300000001 
SUBENT        14833001   20240822                             15141483300100001 
BIB                 15         44                                 1483300100002 
TITLE      Differential cross sections of the 16O(n,alpha)        1483300100003 
           reaction at neutron energies from 3.8 to 15 MeV        1483300100004 
AUTHOR     (H.Y.Lee,S.A.Kuvin,L.Zavorka,S.Mosby,B.Digiovine,      1483300100005 
           G.Hale,M.Paris,D.Votaw,M.White)                        1483300100006 
REFERENCE  (J,PR/C,109,014601,2024)                               1483300100007 
           #doi:10.1103/PhysRevC.109.014601                       1483300100008 
EXP-YEAR   (2021) Hye Young Lee (2024-11-27):                     1483300100009 
           The 2021 LENZ data is reported as the final in the     1483300100010 
            2024 report. The earlier (2016-2017) data sets were   1483300100011 
            used to validate our analyses and characterize        1483300100012 
            backgrounds, therefore we do not consider as our      1483300100013 
            final cross sections.                                 1483300100014 
REL-REF    (A,,D.A.Brown+,J,NDS,148,1,2018) ENDF/B-VIII.1 library.1483300100015 
INSTITUTE  (1USALAS)                                              1483300100016 
FACILITY   (LINAC,1USALAS) The Weapons Neutron Research (WNR)     1483300100017 
           facility.                                              1483300100018 
DETECTOR   (SISD,FISCH) LENZ (Low Energy NZ) instrument, fission  1483300100019 
           counter.                                               1483300100020 
SAMPLE     Ta2O5: 400 nm thick on 125 microm Ta backing. Mylar,   1483300100021 
           C10H8O4: 1.6 microm thick. Ta2O5: 350 and 500 nm       1483300100022 
           thick on 3 microm Ta backing.                          1483300100023 
METHOD     (TOF) The 15R flight path has the neutron flight       1483300100024 
           length of 13.28 meters from WNR T4 and is angled at    1483300100025 
           15 degree to the proton-beam right direction. The      1483300100026 
           neutron flux at the flight path is continuously        1483300100027 
           monitored by measuring fission fragments in a fission  1483300100028 
           counter. The 16O(n,alpha) reaction measurements were   1483300100029 
           performed in the LANSCE run cycles in 2016, 2017, and  1483300100030 
           2021. Based on the availability of silicon strip       1483300100031 
           detectors and the optimization of solid angle          1483300100032 
           coverage, LENZ configurations were complementary to    1483300100033 
           cover a broad range of solid angles for alpha          1483300100034 
           particles. Based on the results in the 2016/2017 data, 1483300100035 
           the 2021 experimental configuration was optimized to   1483300100036 
           reduce neutron scattering background and angular       1483300100037 
           broadening with a goal of direct application for       1483300100038 
           R-matrix analyses.                                     1483300100039 
MONITOR    (92-U-238(N,F),,SIG)                                   1483300100040 
CORRECTION The relative timing corrections between the different  1483300100041 
           particles, multiple scattering corrections, and        1483300100042 
           background corrections.                                1483300100043 
EXP-YEAR   (2021)                                                 1483300100044 
STATUS     (APRVD) Approved by H.Y.Lee on August 22, 2024.        1483300100045 
HISTORY    (20240822C) BP                                         1483300100046 
ENDBIB              44          0                                 1483300100047 
NOCOMMON             0          0                                 1483300100048 
ENDSUBENT           47          0                                 1483300199999 
SUBENT        14833002   20240822                             15141483300200001 
BIB                  3         17                                 1483300200002 
REACTION   (8-O-16(N,A)6-C-13,PAR,DA)                             1483300200003 
ERR-ANALYS (ERR-S) Per energy bin.                                1483300200004 
           (ERR-SYS) Total systematic uncertainty.                1483300200005 
           (ERR-1,0.7,1.2) Neutron energy determination.          1483300200006 
           (ERR-2) Energy resolution.                             1483300200007 
           (ERR-3,1.4,4.) Solid angle/detector efficiency.        1483300200008 
           (ERR-4) Target thickness.                              1483300200009 
           (ERR-5) Stoichiometry.                                 1483300200010 
           (ERR-6) 238U deposit nonuniformity                     1483300200011 
           (ERR-7) 238U(n,f) cross section.                       1483300200012 
           (ERR-8,0.1,0.7) 1H(n,el) cross section.                1483300200013 
           (ERR-9) Geometric effects.                             1483300200014 
           (ERR-10) PSD background analysis.                      1483300200015 
           (ERR-11) Ratio method or ratio+fission counter method. 1483300200016 
STATUS     (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483300200017 
           Author's data, also shown in Fig. 12,                  1483300200018 
           page 014601-10 of J,PR/C,109,014601,2024.              1483300200019 
ENDBIB              17          0                                 1483300200020 
COMMON               9          6                                 1483300200021 
E-LVL      ANG        ERR-2      ERR-4      ERR-5      ERR-6      1483300200022 
ERR-7      ERR-9      ERR-10                                      1483300200023 
MEV        ADEG       PER-CENT   PER-CENT   PER-CENT   PER-CENT   1483300200024 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         1483300200025 
ENDBIB              17          0                                 1483300400020 
COMMON               9          6                                 1483300400021 
E-LVL      ANG        ERR-2      ERR-4      ERR-5      ERR-6      1483300400022 
ERR-7      ERR-9      ERR-10                                      1483300400023 
MEV        ADEG       PER-CENT   PER-CENT   PER-CENT   PER-CENT   1483300400024 
PER-CENT   PER-CENT   PER-CENT                                    1483300400025 
        0.0       57.0       0.85        3.0        0.5        5.01483300400026 
        1.5        1.0        2.0                                 1483300400027 
ENDCOMMON            6          0                                 1483300400028 
DATA                 6        129                                 1483300400029 
EN         EN-RSL     DATA-CM    ERR-S      ERR-SYS    ERR-11     1483300400030 
MEV        MEV        MB/SR      MB/SR      MB/SR      PER-CENT   1483300400031 
     3.7641     0.0563       0.80       0.45       0.05        2.31483300400032 
     3.8248     0.0574       0.98       0.97       0.06        2.31483300400033 
     3.8455     0.0578       2.61       0.86       0.16        2.31483300400034 
     3.8662     0.0582       1.68       0.78       0.10        2.31483300400035 
     3.8872     0.0586       1.97       0.87       0.12        2.31483300400036 
     3.9083     0.0589       0.53       1.00       0.03        2.31483300400037 
     3.9296     0.0593       0.98       1.02       0.06        2.31483300400038 
     3.9511     0.0598       1.62       1.03       0.10        2.31483300400039 
     3.9727     0.0602       3.36       0.90       0.20        2.31483300400040 
     3.9946     0.0606       2.17       0.99       0.13        2.31483300400041 
     4.0166     0.0610       2.94       0.98       0.18        2.31483300400042 
     4.0388     0.0614       3.10       0.97       0.19        2.31483300400043 
     4.0612     0.0618       1.76       1.07       0.11        2.31483300400044 
     4.0837     0.0623       2.72       0.99       0.16        2.31483300400045 
     4.1065     0.0627       0.26       1.19       0.02        2.31483300400046 
     4.1294     0.0631       1.71       1.09       0.10        2.31483300400047 
     4.1525     0.0636       3.59       1.04       0.22        2.31483300400048 
     4.1759     0.0640       2.40       1.09       0.14        2.31483300400049 
     4.1994     0.0645       3.42       1.05       0.21        2.31483300400050 
     4.2231     0.0649       2.24       1.19       0.13        2.31483300400051 
     4.2471     0.0654       2.25       1.25       0.14        2.31483300400052 
     4.2712     0.0658       3.12       1.24       0.19        2.31483300400053 
     4.2955     0.0663       5.60       1.02       0.34        2.31483300400054 
     4.3201     0.0668       3.45       1.19       0.21        2.31483300400055 
     4.3448     0.0673       3.72       1.26       0.22        2.31483300400056 
     4.3698     0.0677       6.20       1.02       0.37        2.31483300400057 
     4.3950     0.0682       2.75       1.23       0.16        2.31483300400058 
     4.4204     0.0687       3.76       1.14       0.23        2.31483300400059 
     4.4460     0.0692       4.22       1.14       0.25        2.31483300400060 
     4.4719     0.0697       5.05       1.12       0.30        2.31483300400061 
     4.4980     0.0703       1.73       1.28       0.10        2.31483300400062 
     4.5243     0.0708       1.64       1.24       0.10        2.31483300400063 
     4.5508     0.0713       3.79       1.17       0.23        2.31483300400064 
     4.5776     0.0718       2.61       1.24       0.16        2.31483300400065 
     4.6046     0.0724       2.84       1.27       0.17        2.31483300400066 
     4.6319     0.0729       6.99       1.11       0.42        2.31483300400067 
     4.6594     0.0734       3.25       1.19       0.20        2.31483300400068 
     4.6871     0.0740       2.26       1.11       0.14        2.31483300400069 
     4.7151     0.0746       1.80       1.27       0.11        2.31483300400070 
     4.7719     0.0757       1.56       0.72       0.09        2.31483300400071 
     4.8296     0.0769       2.67       1.17       0.16        2.31483300400072 
     4.8589     0.0775       5.48       0.99       0.33        2.31483300400073 
     4.8885     0.0781       4.17       1.08       0.25        2.31483300400074 
     4.9183     0.0787       2.37       1.30       0.14        2.31483300400075 
     4.9484     0.0793       6.60       0.97       0.40        2.31483300400076 
     4.9787     0.0799       8.54       1.12       0.51        2.31483300400077 
     5.0094     0.0805      11.04       1.01       0.66        2.31483300400078 
     5.0403     0.0811      10.41       1.16       0.62        2.31483300400079 
     5.0716     0.0818      10.36       1.20       0.62        2.31483300400080 
     5.1031     0.0824      12.78       1.06       0.77        2.31483300400081 
     5.1349     0.0831       8.81       1.19       0.53        2.31483300400082 
     5.1670     0.0838       5.88       1.05       0.35        2.31483300400083 
     5.1994     0.0844       4.30       1.10       0.26        2.31483300400084 
     5.2321     0.0851       2.74       1.02       0.16        2.31483300400085 
     5.2652     0.0858       1.58       1.09       0.10        2.31483300400086 
     5.2985     0.0865       1.25       1.05       0.07        2.31483300400087 
     5.3322     0.0872       1.23       1.03       0.07        2.31483300400088 
     5.3662     0.0879       3.26       1.05       0.20        2.31483300400089 
     5.4005     0.0886       2.11       0.98       0.13        2.31483300400090 
     5.4351     0.0894       1.33       1.02       0.08        2.31483300400091 
     5.4701     0.0901       1.26       1.02       0.08        2.31483300400092 
     5.5054     0.0909       1.38       1.02       0.08        2.31483300400093 
     5.5411     0.0916       1.30       0.97       0.08        2.31483300400094 
     5.5771     0.0924       3.08       0.86       0.18        2.31483300400095 
     5.6134     0.0932       1.02       0.98       0.06        2.31483300400096 
     5.6874     0.0947       0.13       0.60       0.01        2.31483300400097 
     5.7625     0.0964       0.69       0.92       0.04        2.31483300400098 
     5.8007     0.0972       1.03       0.88       0.06        2.31483300400099 
     5.8393     0.0980       3.46       0.69       0.21        2.31483300400100 
     5.8783     0.0989       4.99       0.83       0.30        2.31483300400101 
     5.9176     0.0997       3.95       0.94       0.24        2.31483300400102 
     5.9574     0.1006       3.06       0.93       0.18        2.31483300400103 
     5.9975     0.1015       2.25       0.93       0.13        2.31483300400104 
     6.0381     0.1024       2.28       0.92       0.14       2.751483300400105 
     6.0791     0.1033       3.63       0.91       0.22       2.751483300400106 
     6.1205     0.1042       3.98       0.88       0.24       2.751483300400107 
     6.1623     0.1051       3.80       0.85       0.23       2.751483300400108 
     6.2046     0.1061       2.02       0.81       0.12       2.751483300400109 
     6.2473     0.1070       1.26       0.89       0.08       2.751483300400110 
     6.2904     0.1080       4.17       0.81       0.25       2.751483300400111 
     6.3340     0.1090       4.73       0.90       0.28       2.751483300400112 
     6.3780     0.1100       9.45       0.87       0.57       2.751483300400113 
     6.4226     0.1110       9.28       0.97       0.56       2.751483300400114 
     6.4675     0.1120       8.58       0.84       0.51       2.751483300400115 
     6.5130     0.1130      10.20       0.84       0.61       2.751483300400116 
     6.5589     0.1141       7.84       0.92       0.47       2.751483300400117 
     6.6053     0.1151      10.02       0.83       0.60       2.751483300400118 
     6.6523     0.1162       8.38       0.90       0.50       2.751483300400119 
     6.6997     0.1173       7.72       0.84       0.46       2.751483300400120 
     6.7476     0.1184       6.84       0.83       0.41       2.751483300400121 
     6.7961     0.1195       7.64       0.86       0.46       2.751483300400122 
     6.8450     0.1207       9.67       0.71       0.58       2.751483300400123 
     6.8945     0.1218       8.40       0.75       0.50       2.751483300400124 
     6.9446     0.1230       7.49       0.67       0.45       2.751483300400125 
     6.9952     0.1242       4.31       0.81       0.26       2.751483300400126 
     7.0463     0.1254       5.07       0.71       0.30       2.751483300400127 
     7.0981     0.1266       3.98       0.91       0.24       2.751483300400128 
     7.1503     0.1278       5.91       0.89       0.35       2.751483300400129 
     7.2032     0.1291       7.85       0.78       0.47       2.751483300400130 
     7.2567     0.1303      11.78       0.65       0.71       2.751483300400131 
     7.3107     0.1316      11.77       0.69       0.71       2.751483300400132 
     7.3654     0.1329       7.99       0.80       0.48       2.751483300400133 
     7.4207     0.1343       7.21       0.85       0.43       2.751483300400134 
     7.4766     0.1356       5.85       0.77       0.35       2.751483300400135 
     7.5332     0.1370       4.07       0.76       0.24       2.751483300400136 
     7.5904     0.1383       4.19       0.77       0.25       2.751483300400137 
     7.6482     0.1398       2.16       0.92       0.13       2.751483300400138 
     7.7068     0.1412       2.39       0.81       0.14       2.751483300400139 
     7.7660     0.1426       1.43       0.82       0.09       2.751483300400140 
     7.8258     0.1441       2.24       0.71       0.13       2.751483300400141 
     7.8864     0.1456       1.01       0.73       0.06       2.751483300400142 
     7.9477     0.1471       1.58       0.65       0.09       2.751483300400143 
     8.0097     0.1486       1.29       0.77       0.08       2.751483300400144 
     8.0725     0.1502       2.40       0.62       0.14       2.751483300400145 
     8.1360     0.1518       1.43       0.77       0.09       2.751483300400146 
     8.2002     0.1534       0.84       0.71       0.05       2.751483300400147 
     8.2652     0.1550       0.14       0.66       0.01       2.751483300400148 
     8.3310     0.1567       1.48       0.65       0.09       2.751483300400149 
     8.3976     0.1584       3.52       0.66       0.21       2.751483300400150 
     8.4649     0.1601       3.45       0.61       0.21       2.751483300400151 
     8.5331     0.1618       1.97       0.68       0.12       2.751483300400152 
     8.6022     0.1636       1.78       0.79       0.11       2.751483300400153 
     8.6721     0.1654       2.93       0.68       0.18       2.751483300400154 
     8.7428     0.1672       2.95       0.81       0.18       2.751483300400155 
     8.8144     0.1691       3.86       0.60       0.23       2.751483300400156 
     8.8869     0.1709       1.86       0.70       0.11       2.751483300400157 
     8.9603     0.1728       1.64       0.62       0.10       2.751483300400158 
     9.0346     0.1748       2.53       0.61       0.15       2.751483300400159 
     9.1098     0.1768       3.43       0.61       0.21       2.751483300400160 
ENDDATA            131          0                                 1483300400161 
ENDSUBENT          160          0                                 1483300499999 
SUBENT        14833005   20240822                             15141483300500001 
BIB                  3         16                                 1483300500002 
REACTION   (8-O-16(N,A)6-C-13,PAR,DA)                             1483300500003 
ERR-ANALYS (ERR-S) Per energy bin.                                1483300500004 
           (ERR-SYS) Total systematic uncertainty.                1483300500005 
           (ERR-1,0.7,1.2) Neutron energy determination.          1483300500006 
           (ERR-2) Energy resolution.                             1483300500007 
           (ERR-3,1.4,4.) Solid angle/detector efficiency.        1483300500008 
           (ERR-4) Target thickness.                              1483300500009 
           (ERR-5) Stoichiometry.                                 1483300500010 
           (ERR-6) 238U deposit nonuniformity                     1483300500011 
           (ERR-7) 238U(n,f) cross section.                       1483300500012 
           (ERR-8) Backward angles or +2.5 cm det. position       1483300500013 
           (ERR-9) Geometric effects.                             1483300500014 
           (ERR-10) PSD background analysis.                      1483300500015 
STATUS     (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483300500016 
           Author's data, also shown in Fig. 12,                  1483300500017 
           page 014601-10 of J,PR/C,109,014601,2024.              1483300500018 
ENDBIB              16          0                                 1483300500019 
COMMON              10          6                                 1483300500020 
E-LVL      ANG        ERR-2      ERR-4      ERR-5      ERR-6      1483300500021 
ERR-7      ERR-8      ERR-9      ERR-10                           1483300500022 
MEV        ADEG       PER-CENT   PER-CENT   PER-CENT   PER-CENT   1483300500023 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         1483300500024 
        0.0      126.0       0.85        3.0        0.5        5.01483300500025 
        1.5        6.0        1.0        2.0                      1483300500026 
ENDCOMMON            6          0                                 1483300500027 
DATA                 5         65                                 1483300500028 
EN         EN-RSL     DATA-CM    ERR-S      ERR-SYS               1483300500029 
MEV        MEV        MB/SR      MB/SR      MB/SR                 1483300500030 
     5.5953     0.0924       0.46       0.36       0.03           1483300500031 
     5.6502     0.0940       0.26       0.49       0.02           1483300500032 
     5.6872     0.0947       0.45       0.54       0.03           1483300500033 
     5.7247     0.0956       0.74       0.50       0.04           1483300500034 
     5.7625     0.0964       1.31       0.44       0.08           1483300500035 
     5.8007     0.0972       1.77       0.46       0.11           1483300500036 
     5.8393     0.0980       0.88       0.62       0.05           1483300500037 
     5.8783     0.0989       0.52       0.51       0.03           1483300500038 
     5.9176     0.0997       0.70       0.55       0.04           1483300500039 
     5.9574     0.1006       2.35       0.41       0.14           1483300500040 
     5.9975     0.1015       2.17       0.50       0.13           1483300500041 
     6.0381     0.1024       0.26       0.61       0.02           1483300500042 
     6.0791     0.1033       0.96       0.51       0.06           1483300500043 
     6.1205     0.1042       1.42       0.52       0.08           1483300500044 
     6.2047     0.1061       1.57       0.30       0.09           1483300500045 
     6.2904     0.1080       3.27       0.50       0.20           1483300500046 
     6.3340     0.1090       4.27       0.66       0.26           1483300500047 
     6.3780     0.1100       6.49       0.60       0.39           1483300500048 
     6.4226     0.1110       8.01       0.65       0.48           1483300500049 
     6.4675     0.1120       7.07       0.74       0.42           1483300500050 
     6.5130     0.1130       7.22       0.64       0.43           1483300500051 
     6.5589     0.1141       4.49       0.65       0.27           1483300500052 
     6.6053     0.1151       2.64       0.60       0.16           1483300500053 
     6.6523     0.1162       2.47       0.49       0.15           1483300500054 
     6.6997     0.1173       3.84       0.57       0.23           1483300500055 
     6.7476     0.1184       4.80       0.51       0.29           1483300500056 
     6.7961     0.1195       3.65       0.50       0.22           1483300500057 
     6.8450     0.1207       2.70       0.54       0.16           1483300500058 
     6.8945     0.1218       2.81       0.45       0.17           1483300500059 
     6.9446     0.1230       4.94       0.42       0.30           1483300500060 
     6.9952     0.1242       5.96       0.54       0.36           1483300500061 
     7.0463     0.1254      10.42       0.64       0.63           1483300500062 
     7.0981     0.1266      12.64       0.68       0.76           1483300500063 
     7.1503     0.1278      12.78       0.70       0.77           1483300500064 
     7.2032     0.1291      14.54       0.72       0.87           1483300500065 
     7.2567     0.1303      10.87       0.63       0.65           1483300500066 
     7.3107     0.1316      11.61       0.75       0.70           1483300500067 
     7.3654     0.1329      10.85       0.57       0.65           1483300500068 
     7.4207     0.1343      11.06       0.68       0.66           1483300500069 
     7.4766     0.1356      11.63       0.63       0.70           1483300500070 
     7.5332     0.1370       8.66       0.74       0.52           1483300500071 
     7.5904     0.1383       7.56       0.69       0.45           1483300500072 
     7.6482     0.1398       7.36       0.74       0.44           1483300500073 
     7.7068     0.1412       6.76       0.70       0.41           1483300500074 
     7.7660     0.1426       4.50       0.71       0.27           1483300500075 
     7.8258     0.1441       5.28       0.69       0.32           1483300500076 
     7.8864     0.1456       3.91       0.67       0.23           1483300500077 
     7.9477     0.1471       2.05       0.67       0.12           1483300500078 
     8.0097     0.1486       4.12       0.56       0.25           1483300500079 
     8.0725     0.1502       2.04       0.67       0.12           1483300500080 
     8.1360     0.1518       4.92       0.65       0.29           1483300500081 
     8.2002     0.1534       7.78       0.65       0.47           1483300500082 
     8.2652     0.1550       5.57       0.71       0.33           1483300500083 
     8.3310     0.1567       5.59       0.78       0.34           1483300500084 
     8.3976     0.1584       4.11       0.71       0.25           1483300500085 
     8.4649     0.1601       7.62       0.66       0.46           1483300500086 
     8.5331     0.1618       8.02       0.71       0.48           1483300500087 
     8.6022     0.1636       8.30       0.73       0.50           1483300500088 
     8.6721     0.1654       6.30       0.66       0.38           1483300500089 
     8.7428     0.1672       4.85       0.65       0.29           1483300500090 
     8.8144     0.1691       5.17       0.54       0.31           1483300500091 
     8.8869     0.1709       4.13       0.60       0.25           1483300500092 
     8.9603     0.1728       5.50       0.76       0.33           1483300500093 
     9.0346     0.1748       7.68       0.83       0.46           1483300500094 
     9.1098     0.1768       7.35       0.77       0.44           1483300500095 
ENDDATA             67          0                                 1483300500096 
ENDSUBENT           95          0                                 1483300599999 
SUBENT        14833006   20240822                             15141483300600001 
BIB                  3         16                                 1483300600002 
REACTION   (8-O-16(N,A)6-C-13,PAR,DA)                             1483300600003 
ERR-ANALYS (ERR-S) Per energy bin.                                1483300600004 
           (ERR-SYS) Total systematic uncertainty.                1483300600005 
           (ERR-1,0.7,1.2) Neutron energy determination.          1483300600006 
           (ERR-2) Energy resolution.                             1483300600007 
           (ERR-3,1.4,4.) Solid angle/detector efficiency.        1483300600008 
           (ERR-4) Target thickness.                              1483300600009 
           (ERR-5) Stoichiometry.                                 1483300600010 
           (ERR-6) 238U deposit nonuniformity                     1483300600011 
           (ERR-7) 238U(n,f) cross section.                       1483300600012 
           (ERR-8) Backward angles or +2.5 cm det. position       1483300600013 
           (ERR-9) Geometric effects.                             1483300600014 
           (ERR-10) PSD background analysis.                      1483300600015 
STATUS     (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483300600016 
           Author's data, also shown in Fig. 12,                  1483300600017 
           page 014601-10 of J,PR/C,109,014601,2024.              1483300600018 
ENDBIB              16          0                                 1483300600019 
COMMON              10          6                                 1483300600020 
E-LVL      ANG        ERR-2      ERR-4      ERR-5      ERR-6      1483300600021 
ERR-7      ERR-8      ERR-9      ERR-10                           1483300600022 
MEV        ADEG       PER-CENT   PER-CENT   PER-CENT   PER-CENT   1483300600023 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         1483300600024 
        0.0      149.0       0.85        3.0        0.5        5.01483300600025 
        1.5        6.0        1.0        2.0                      1483300600026 
ENDCOMMON            6          0                                 1483300600027 
DATA                 5         68                                 1483300600028 
EN         EN-RSL     DATA-CM    ERR-S      ERR-SYS               1483300600029 
MEV        MEV        MB/SR      MB/SR      MB/SR                 1483300600030 
     5.5054     0.0909       0.51       0.76       0.03           1483300600031 
     5.5411     0.0916       1.16       0.99       0.07           1483300600032 
     5.5771     0.0924       0.46       0.86       0.03           1483300600033 
     5.6134     0.0932       1.25       0.80       0.07           1483300600034 
     5.6502     0.0940       2.02       1.19       0.12           1483300600035 
     5.7248     0.0956       1.00       1.01       0.06           1483300600036 
     5.8007     0.0972       0.36       1.03       0.02           1483300600037 
     5.8393     0.0980       1.47       1.00       0.09           1483300600038 
     5.8783     0.0989       3.45       1.43       0.21           1483300600039 
     5.9176     0.0997       4.60       0.99       0.28           1483300600040 
     5.9574     0.1006       4.65       1.08       0.28           1483300600041 
     5.9975     0.1015       3.53       0.93       0.21           1483300600042 
     6.0381     0.1024       2.43       0.96       0.15           1483300600043 
     6.0791     0.1033       3.22       1.08       0.19           1483300600044 
     6.1205     0.1042       2.14       1.24       0.13           1483300600045 
     6.1623     0.1051       4.98       1.16       0.30           1483300600046 
     6.2046     0.1061       6.30       1.28       0.38           1483300600047 
     6.2473     0.1070       8.34       1.17       0.50           1483300600048 
     6.2904     0.1080       5.37       1.44       0.32           1483300600049 
     6.3340     0.1090       5.99       1.21       0.36           1483300600050 
     6.3780     0.1100       5.20       1.44       0.31           1483300600051 
     6.4226     0.1110       9.37       1.59       0.56           1483300600052 
     6.4675     0.1120      11.20       1.71       0.67           1483300600053 
     6.5130     0.1130      17.54       1.77       1.05           1483300600054 
     6.5589     0.1141      19.40       1.57       1.16           1483300600055 
     6.6053     0.1151      22.09       1.82       1.33           1483300600056 
     6.6523     0.1162      15.50       1.66       0.93           1483300600057 
     6.6997     0.1173      14.23       1.56       0.85           1483300600058 
     6.7476     0.1184       9.83       1.46       0.59           1483300600059 
     6.7961     0.1195       8.38       1.59       0.50           1483300600060 
     6.8450     0.1207       8.12       1.52       0.49           1483300600061 
     6.8945     0.1218       5.75       1.31       0.35           1483300600062 
     6.9446     0.1230       5.66       1.52       0.34           1483300600063 
     6.9952     0.1242       8.68       1.24       0.52           1483300600064 
     7.0463     0.1254      10.05       1.69       0.60           1483300600065 
     7.0981     0.1266      11.06       1.74       0.66           1483300600066 
     7.1503     0.1278      21.71       2.16       1.30           1483300600067 
     7.2032     0.1291      28.68       2.18       1.72           1483300600068 
     7.2567     0.1303      21.05       2.27       1.26           1483300600069 
     7.3107     0.1316      17.56       1.99       1.05           1483300600070 
     7.3654     0.1329      11.25       1.87       0.68           1483300600071 
     7.4207     0.1343      11.82       1.71       0.71           1483300600072 
     7.4766     0.1356       6.95       1.86       0.42           1483300600073 
     7.5332     0.1370      10.38       1.67       0.62           1483300600074 
     7.5904     0.1383      10.03       1.73       0.60           1483300600075 
     7.6482     0.1398      10.20       1.61       0.61           1483300600076 
     7.7068     0.1412      10.23       1.82       0.61           1483300600077 
     7.7660     0.1426       7.86       1.54       0.47           1483300600078 
     7.8258     0.1441       8.03       1.90       0.48           1483300600079 
     7.8864     0.1456      11.97       1.79       0.72           1483300600080 
     7.9477     0.1471      10.08       2.11       0.60           1483300600081 
     8.0097     0.1486       8.56       2.07       0.51           1483300600082 
     8.0725     0.1502       8.41       1.81       0.50           1483300600083 
     8.1360     0.1518       7.65       1.79       0.46           1483300600084 
     8.2002     0.1534       6.66       1.35       0.40           1483300600085 
     8.2652     0.1550       6.10       1.42       0.37           1483300600086 
     8.3310     0.1567       4.26       1.42       0.26           1483300600087 
     8.3976     0.1584       3.92       1.31       0.24           1483300600088 
     8.4649     0.1601       3.64       1.70       0.22           1483300600089 
     8.5331     0.1618       4.42       1.33       0.26           1483300600090 
     8.6022     0.1636       4.60       1.81       0.28           1483300600091 
     8.6721     0.1654       7.59       1.40       0.46           1483300600092 
     8.7428     0.1672       8.46       1.62       0.51           1483300600093 
     8.8144     0.1691       4.13       1.62       0.25           1483300600094 
     8.8869     0.1709       7.00       1.50       0.42           1483300600095 
     8.9603     0.1728       2.75       1.60       0.17           1483300600096 
     9.0346     0.1748       6.92       1.61       0.42           1483300600097 
     9.1098     0.1768      11.52       2.02       0.69           1483300600098 
ENDDATA             70          0                                 1483300600099 
ENDSUBENT           98          0                                 1483300699999 
SUBENT        14833007   20240822                             15141483300700001 
BIB                  3         17                                 1483300700002 
REACTION   (8-O-16(N,A)6-C-13,PAR,DA)                             1483300700003 
ERR-ANALYS (ERR-S) Per energy bin.                                1483300700004 
           (ERR-SYS) Total systematic uncertainty.                1483300700005 
           (ERR-1,0.7,1.2) Neutron energy determination.          1483300700006 
           (ERR-2) Energy resolution.                             1483300700007 
           (ERR-3,1.4,4.) Solid angle/detector efficiency.        1483300700008 
           (ERR-4) Target thickness.                              1483300700009 
           (ERR-5) Stoichiometry.                                 1483300700010 
           (ERR-6) 238U deposit nonuniformity                     1483300700011 
           (ERR-7) 238U(n,f) cross section.                       1483300700012 
           (ERR-8,0.1,0.7) 1H(n,el) cross section.                1483300700013 
           (ERR-9) Geometric effects.                             1483300700014 
           (ERR-10) PSD background analysis.                      1483300700015 
           (ERR-11) Ratio method or ratio+fission counter method. 1483300700016 
STATUS     (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483300700017 
           Author's data, also shown in Fig. 14,                  1483300700018 
           page 014601-11 of J,PR/C,109,014601,2024.              1483300700019 
ENDBIB              17          0                                 1483300700020 
COMMON              12          6                                 1483300700021 
E-LVL      E-LVL      E-LVL      ANG        ERR-2      ERR-4      1483300700022 
ERR-5      ERR-6      ERR-7      ERR-9      ERR-10     ERR-11     1483300700023 
MEV        MEV        MEV        ADEG       PER-CENT   PER-CENT   1483300700024 
PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   1483300700025 
      3.089      3.684      3.853       15.0       0.85        3.01483300700026 
        0.5        5.0        1.5        1.0        2.0       2.751483300700027 
ENDCOMMON            6          0                                 1483300700028 
DATA                 5         54                                 1483300700029 
EN         EN-RSL     DATA-CM    ERR-S      ERR-SYS               1483300700030 
MEV        MEV        MB/SR      MB/SR      MB/SR                 1483300700031 
     9.0346     0.1748       9.92       1.66       0.60           1483300700032 
     9.1098     0.1768      11.00       1.64       0.66           1483300700033 
     9.1860     0.1788      14.53       1.80       0.87           1483300700034 
     9.2632     0.1808      11.00       1.63       0.66           1483300700035 
     9.3413     0.1829       6.17       1.48       0.37           1483300700036 
     9.4205     0.1850       9.13       1.55       0.55           1483300700037 
     9.5006     0.1871      10.90       1.54       0.65           1483300700038 
     9.5818     0.1893       8.26       1.57       0.50           1483300700039 
     9.6640     0.1915      10.70       1.71       0.64           1483300700040 
     9.7473     0.1938      13.19       1.90       0.79           1483300700041 
     9.8317     0.1961      10.66       1.73       0.64           1483300700042 
     9.9172     0.1984      14.89       1.96       0.89           1483300700043 
    10.0038     0.2008      13.45       1.94       0.81           1483300700044 
    10.0916     0.2032      15.55       1.99       0.93           1483300700045 
    10.1805     0.2056      19.23       2.10       1.15           1483300700046 
    10.2706     0.2081      22.00       2.29       1.32           1483300700047 
    10.3619     0.2107      23.91       2.41       1.43           1483300700048 
    10.4545     0.2132      27.20       2.60       1.63           1483300700049 
