ENTRY            11460   19820813                             00001146000000001 
SUBENT        11460001   19820813                             00001146000100001 
BIB                  5          6                                 1146000100002 
INSTITUTE  (1USAANL)                                              1146000100003 
REFERENCE  (W,HIBDON,6908) TABULATED DATA.                        1146000100004 
AUTHOR     (C.T.HIBDON)                                           1146000100005 
STATUS     (SCSRS)                                                1146000100006 
HISTORY    (760715T) TRANSLATED FROM SCISRS                       1146000100007 
           (820813A) CONVERTED TO REACTION FORMALISM              1146000100008 
ENDBIB               6          0                                 1146000100009 
NOCOMMON             0          0                                 1146000100010 
ENDSUBENT            9          0                                 1146000199999 
SUBENT        11460002   19820813                             00001146000200001 
BIB                  2          2                                 1146000200002 
REACTION   (12-MG-0(N,TOT),,SIG)                                  1146000200003 
METHOD     FLAT DETECTION, ZERO DEGREES.                          1146000200004 
ENDBIB               2          0                                 1146000200005 
NOCOMMON             0          0                                 1146000200006 
DATA                 3        421                                 1146000200007 
EN         DATA       DATA-ERR                                    1146000200008 
MEV        B          B                                           1146000200009 
REACTION   (12-MG-0(N,TOT),,SIG)                                  1146000300003 
METHOD     SELF DETECTION. 0 DEGR.                                1146000300004 
ENDBIB               2          0                                 1146000300005 
NOCOMMON             0          0                                 1146000300006 
DATA                 3         77                                 1146000300007 
EN         DATA       DATA-ERR                                    1146000300008 
KEV        B          B                                           1146000300009 
 256.0      11.25      0.24                                       1146000300010 
 257.0      11.40      0.24                                       1146000300011 
 258.0      11.90      0.24                                       1146000300012 
 259.0      11.24      0.24                                       1146000300013 
 260.0      11.75      0.24                                       1146000300014 
 261.0      12.09      0.25                                       1146000300015 
 262.0      11.95      0.25                                       1146000300016 
 263.0      12.08      0.25                                       1146000300017 
 264.0      12.00      0.25                                       1146000300018 
 265.0      12.11      0.25                                       1146000300019 
 266.0      12.20      0.25                                       1146000300020 
 267.0      12.26      0.25                                       1146000300021 
 268.0      12.07      0.25                                       1146000300022 
 269.0      11.80      0.25                                       1146000300023 
 270.0      11.83      0.25                                       1146000300024 
 271.0      11.27      0.25                                       1146000300025 
 272.0      10.72      0.25                                       1146000300026 
 273.0      11.51      0.25                                       1146000300027 
 274.0      11.84      0.25                                       1146000300028 
 275.0      11.63      0.25                                       1146000300029 
 276.0      11.31      0.25                                       1146000300030 
 277.0      11.26      0.25                                       1146000300031 
 278.0      11.57      0.25                                       1146000300032 
 279.0      11.41      0.25                                       1146000300033 
 280.0      10.94      0.25                                       1146000300034 
 281.0      11.78      0.25                                       1146000300035 
 282.0      10.87      0.25                                       1146000300036 
 283.0      11.46      0.25                                       1146000300037 
 284.0      11.07      0.25                                       1146000300038 
 285.0      11.28      0.25                                       1146000300039 
 286.0      10.57      0.25                                       1146000300040 
 287.0      10.97      0.25                                       1146000300041 
 288.0      11.00      0.25                                       1146000300042 
 289.0      10.93      0.25                                       1146000300043 
 290.0      10.89      0.25                                       1146000300044 
 413.0       6.96      0.15                                       1146000300045 
 415.0       7.60      0.15                                       1146000300046 
 416.0       7.89      0.17                                       1146000300047 
 417.0       8.02      0.17                                       1146000300048 
 418.0       8.35      0.22                                       1146000300049 
 419.0       8.56      0.22                                       1146000300050 
 420.0       9.02      0.22                                       1146000300051 
 421.0       9.49      0.25                                       1146000300052 
 422.0      10.50      0.28                                       1146000300053 
 423.0      10.93      0.28                                       1146000300054 
 424.0      11.75      0.19                                       1146000300055 
 426.0      12.60      0.18                                       1146000300056 
 428.0      13.60      0.18                                       1146000300057 
 430.0      13.61      0.18                                       1146000300058 
 432.0      14.14      0.18                                       1146000300059 
 434.0      13.33      0.16                                       1146000300060 
 436.0      13.31      0.16                                       1146000300061 
 438.0      12.80      0.15                                       1146000300062 
 440.0      11.82      0.15                                       1146000300063 
 442.0      11.37      0.15                                       1146000300064 
 444.0      10.16      0.15                                       1146000300065 
 446.0       9.95      0.15                                       1146000300066 
 448.0       8.97      0.15                                       1146000300067 
 450.0       8.70      0.15                                       1146000300068 
 452.0       8.35      0.10                                       1146000300069 
 454.0       8.18      0.10                                       1146000300070 
 456.0       7.73      0.10                                       1146000300071 
 458.0       7.53      0.10                                       1146000300072 
 495.0       4.09      0.07                                       1146000300073 
 496.0       4.47      0.07                                       1146000300074 
 497.0       6.24      0.07                                       1146000300075 
 498.0       6.72      0.07                                       1146000300076 
 499.0       6.81      0.07                                       1146000300077 
 500.0       6.30      0.07                                       1146000300078 
 501.0       5.87      0.07                                       1146000300079 
 502.0       5.25      0.07                                       1146000300080 
 504.0       5.08      0.07                                       1146000300081 
 506.0       4.88      0.07                                       1146000300082 
 508.0       5.04      0.07                                       1146000300083 
 510.0       4.76      0.07                                       1146000300084 
 512.0       4.78      0.07                                       1146000300085 
 514.0       4.82      0.07                                       1146000300086 
ENDDATA             79          0                                 1146000300087 
ENDSUBENT           86          0                                 1146000399999 
SUBENT        11460004   19820813                             00001146000400001 
BIB                  2          2                                 1146000400002 
REACTION   (13-AL-27(N,TOT),,SIG)                                 1146000400003 
COMMENT    FLAT DETECTION. 120DEG.                                1146000400004 
ENDBIB               2          0                                 1146000400005 
NOCOMMON             0          0                                 1146000400006 
DATA                 3        102                                 1146000400007 
EN         DATA       DATA-ERR                                    1146000400008 
MEV        B          B                                           1146000400009 
 2.75   -02 6.0    -01                                            1146000400010 
 2.85   -02 6.5    -01                                            1146000400011 
 2.89   -02 7.5    -01 1.0    -01                                 1146000400012 
 2.96   -02 1.00   +00                                            1146000400013 
 2.99   -02 1.30   +00                                            1146000400014 
 3.06   -02 1.75   +00 1.5    -01                                 1146000400015 
 3.12   -02 1.80   +00                                            1146000400016 
 3.15   -02 2.90   +00                                            1146000400017 
 3.20   -02 4.00   +00                                            1146000400018 
 3.25   -02 5.75   +00 2.5    -01                                 1146000400019 
 3.30   -02 9.60   +00                                            1146000400020 
 3.35   -02 1.215  +01 3.0    -01                                 1146000400021 
 3.40   -02 1.815  +01 4.0    -01                                 1146000400022 
 3.425  -02 2.123  +01                                            1146000400023 
 3.44   -02 2.235  +01                                            1146000400024 
 3.45   -02 2.420  +01                                            1146000400025 
 3.46   -02 2.770  +01                                            1146000400026 
 3.475  -02 3.117  +01 6.0    -01                                 1146000400027 
 3.50   -02 3.460  +01                                            1146000400028 
 3.515  -02 3.600  +01                                            1146000400029 
 3.525  -02 3.525  +01                                            1146000400030 
 3.535  -02 3.520  +01 8.0    -01                                 1146000400031 
 3.545  -02 3.360  +01                                            1146000400032 
 3.55   -02 3.260  +01                                            1146000400033 
 3.56   -02 2.880  +01                                            1146000400034 
 3.57   -02 2.750  +01                                            1146000400035 
 3.58   -02 2.580  +01                                            1146000400036 
 3.59   -02 2.390  +01 6.0    -01                                 1146000400037 
 3.60   -02 2.225  +01                                            1146000400038 
 3.61   -02 2.120  +01                                            1146000400039 
 3.63   -02 2.010  +01                                            1146000400040 
 3.65   -02 1.790  +01                                            1146000400041 
 3.68   -02 1.740  +01                                            1146000400042 
 3.70   -02 1.520  +01                                            1146000400043 
 3.72   -02 1.460  +01                                            1146000400044 
 3.775  -02 1.185  +01                                            1146000400045 
 3.80   -02 1.160  +01 2.5    -01                                 1146000400046 
 3.85   -02 9.25   +00 2.5    -01                                 1146000400047 
 3.90   -02 8.15   +00                                            1146000400048 
 4.00   -02 6.20   +00 2.5    -01                                 1146000400049 
 4.20   -02 4.40   +00                                            1146000400050 
 4.24   -02 3.95   +00 1.5    -01                                 1146000400051 
 7.00   -02 1.05   +00 1.0    -01                                 1146000400052 
 7.10   -02 1.10   +00 1.0    -01                                 1146000400053 
 7.20   -02 1.08   +00 1.0    -01                                 1146000400054 
 7.30   -02 1.08   +00 1.0    -01                                 1146000400055 
 7.40   -02 1.85   +00 1.0    -01                                 1146000400056 
 7.50   -02 1.88   +00 1.0    -01                                 1146000400057 
 7.60   -02 2.13   +00 1.0    -01                                 1146000400058 
 7.70   -02 2.15   +00 1.0    -01                                 1146000400059 
 7.80   -02 2.73   +00 1.0    -01                                 1146000400060 
 7.90   -02 3.00   +00 1.0    -01                                 1146000400061 
 8.00   -02 3.40   +00 1.0    -01                                 1146000400062 
 8.10   -02 4.42   +00 1.5    -01                                 1146000400063 
 8.20   -02 5.55   +00 2.0    -01                                 1146000400064 
 8.30   -02 6.97   +00 2.0    -01                                 1146000400065 
 8.40   -02 1.140  +01 2.5    -01                                 1146000400066 
 8.45   -02 1.200  +01 3.0    -01                                 1146000400067 
 8.50   -02 1.450  +01 4.0    -01                                 1146000400068 
 8.55   -02 1.630  +01 4.5    -01                                 1146000400069 
 8.60   -02 1.850  +01 5.0    -01                                 1146000400070 
 8.65   -02 1.900  +01 5.0    -01                                 1146000400071 
 8.70   -02 1.665  +01 4.5    -01                                 1146000400072 
 8.75   -02 1.830  +01 4.5    -01                                 1146000400073 
 8.80   -02 1.555  +01 4.5    -01                                 1146000400074 
 8.85   -02 1.655  +01 4.5    -01                                 1146000400075 
 8.90   -02 1.575  +01 4.5    -01                                 1146000400076 
 8.95   -02 1.475  +01 4.0    -01                                 1146000400077 
 9.00   -02 1.295  +01 4.0    -01                                 1146000400078 
 9.05   -02 1.300  +01 3.5    -01                                 1146000400079 
 9.10   -02 1.130  +01 2.5    -01                                 1146000400080 
 9.15   -02 1.040  +01 2.5    -01                                 1146000400081 
 9.20   -02 1.023  +01 2.5    -01                                 1146000400082 
 9.40   -02 8.90   +00                                            1146000400083 
 9.60   -02 7.90   +00                                            1146000400084 
 9.80   -02 6.70   +00                                            1146000400085 
 1.000  -01 5.30   +00                                            1146000400086 
 1.030  -01 4.15   +00                                            1146000400087 
 1.050  -01 3.70   +00                                            1146000400088 
 1.070  -01 3.50   +00                                            1146000400089 
 1.090  -01 3.00   +00                                            1146000400090 
 1.110  -01 2.65   +00                                            1146000400091 
 1.130  -01 2.25   +00                                            1146000400092 
 1.140  -01 2.10   +00                                            1146000400093 
 1.150  -01 2.25   +00                                            1146000400094 
 1.170  -01 4.00   +00                                            1146000400095 
 1.170  -01 3.30   +00                                            1146000400096 
 1.185  -01 6.00   +00                                            1146000400097 
 1.190  -01 7.85   +00                                            1146000400098 
 1.200  -01 1.085  +01                                            1146000400099 
 1.205  -01 9.30   +00                                            1146000400100 
 1.210  -01 8.30   +00                                            1146000400101 
 1.215  -01 6.70   +00                                            1146000400102 
 1.220  -01 5.65   +00                                            1146000400103 
 1.225  -01 4.85   +00                                            1146000400104 
 1.230  -01 3.75   +00                                            1146000400105 
 1.235  -01 3.05   +00                                            1146000400106 
 1.240  -01 2.45   +00                                            1146000400107 
 1.250  -01 1.90   +00                                            1146000400108 
 1.270  -01 1.40   +00                                            1146000400109 
 1.290  -01 1.30   +00                                            1146000400110 
 1.300  -01 1.50   +00                                            1146000400111 
ENDDATA            104          0                                 1146000400112 
ENDSUBENT          111          0                                 1146000499999 
SUBENT        11460005   19820813                             00001146000500001 
BIB                  2          2                                 1146000500002 
REACTION   (13-AL-27(N,TOT),,SIG)                                 1146000500003 
COMMENT    SELF DETECTION. 120DEG.                                1146000500004 
ENDBIB               2          0                                 1146000500005 
NOCOMMON             0          0                                 1146000500006 
DATA                 3         48                                 1146000500007 
EN         DATA       DATA-ERR                                    1146000500008 
MEV        B          B                                           1146000500009 
 3.35   -02 1.290  +01                                            1146000500010 
 3.40   -02 1.800  +01 5.0    -01                                 1146000500011 
 3.45   -02 2.640  +01                                            1146000500012 
 3.46   -02 2.835  +01                                            1146000500013 
 3.475  -02 3.245  +01 9.0    -01                                 1146000500014 
 3.50   -02 3.690  +01                                            1146000500015 
 3.515  -02 3.930  +01                                            1146000500016 
 3.525  -02 3.830  +01 1.00   +00                                 1146000500017 
 3.55   -02 3.460  +01                                            1146000500018 
 3.56   -02 3.00   +01                                            1146000500019 
 3.57   -02 3.02   +01 9.0    +00                                 1146000500020 
 3.58   -02 2.72   +01                                            1146000500021 
 3.61   -02 2.255  +01                                            1146000500022 
 3.65   -02 1.920  +01 6.0    -01                                 1146000500023 
 3.70   -02 1.580  +01                                            1146000500024 
 3.775  -02 1.270  +01 5.0    -01                                 1146000500025 
 3.85   -02 1.020  +01                                            1146000500026 
 7.00   -02 1.80   +00 1.5    -01                                 1146000500027 
 7.10   -02 1.77   +00 1.5    -01                                 1146000500028 
 7.20   -02 1.87   +00 1.5    -01                                 1146000500029 
 7.30   -02 1.47   +00 1.5    -01                                 1146000500030 
 7.40   -02 1.95   +00 1.7    -01                                 1146000500031 
 7.50   -02 2.05   +00 1.7    -01                                 1146000500032 
 7.60   -02 2.20   +00 1.7    -01                                 1146000500033 
 7.70   -02 2.40   +00 1.7    -01                                 1146000500034 
 7.80   -02 2.55   +00 1.7    -01                                 1146000500035 
 7.90   -02 2.32   +00 1.7    -01                                 1146000500036 
 8.00   -02 3.62   +00 2.0    -01                                 1146000500037 
 8.10   -02 4.32   +00 2.0    -01                                 1146000500038 
 8.20   -02 5.77   +00 2.5    -01                                 1146000500039 
 8.30   -02 7.10   +00 2.5    -01                                 1146000500040 
 8.40   -02 1.130  +01 3.5    -01                                 1146000500041 
 8.45   -02 1.340  +01 4.0    -01                                 1146000500042 
 8.50   -02 1.355  +01 4.5    -01                                 1146000500043 
 8.55   -02 1.665  +01 5.0    -01                                 1146000500044 
 8.60   -02 1.900  +01 5.5    -01                                 1146000500045 
 8.65   -02 2.040  +01 5.5    -01                                 1146000500046 
 8.70   -02 1.590  +01 5.0    -01                                 1146000500047 
 8.75   -02 1.920  +01 5.0    -01                                 1146000500048 
 8.80   -02 1.680  +01 5.0    -01                                 1146000500049 
 8.85   -02 1.745  +01 5.0    -01                                 1146000500050 
 8.90   -02 1.615  +01 5.0    -01                                 1146000500051 
 8.95   -02 1.510  +01 5.0    -01                                 1146000500052 
 9.00   -02 1.410  +01 4.5    -01                                 1146000500053 
 9.05   -02 1.260  +01 4.0    -01                                 1146000500054 
 9.10   -02 1.170  +01 4.0    -01                                 1146000500055 
 9.15   -02 1.085  +01 3.5    -01                                 1146000500056 
 9.20   -02 9.90   +00 3.5    -01                                 1146000500057 
ENDDATA             50          0                                 1146000500058 
ENDSUBENT           57          0                                 1146000599999 
SUBENT        11460006   19820813                             00001146000600001 
BIB                  2          2                                 1146000600002 
REACTION   (13-AL-27(N,TOT),,SIG)                                 1146000600003 
COMMENT    SELF DETECTION. 0DEG.                                  1146000600004 
ENDBIB               2          0                                 1146000600005 
NOCOMMON             0          0                                 1146000600006 
DATA                 3        300                                 1146000600007 
EN         DATA       DATA-ERR                                    1146000600008 
MEV        B          B                                           1146000600009 
 1.370  -01 4.00   +00 1.0    -01                                 1146000600010 
 1.380  -01 4.97   +00 1.5    -01                                 1146000600011 
 1.390  -01 5.90   +00 1.5    -01                                 1146000600012 
 1.400  -01 6.73   +00 1.5    -01                                 1146000600013 
 1.410  -01 7.60   +00 1.7    -01                                 1146000600014 
 1.420  -01 9.10   +00 2.0    -01                                 1146000600015 
 1.430  -01 1.020  +01 2.0    -01                                 1146000600016 
 1.440  -01 9.47   +00 2.0    -01                                 1146000600017 
 1.450  -01 1.110  +01 2.0    -01                                 1146000600018 
 1.460  -01 1.130  +01 2.5    -01                                 1146000600019 
 1.470  -01 1.090  +01 2.0    -01                                 1146000600020 
 1.480  -01 1.105  +01 2.0    -01                                 1146000600021 
 1.490  -01 1.050  +01 2.0    -01                                 1146000600022 
 1.500  -01 1.050  +01 2.0    -01                                 1146000600023 
 1.510  -01 1.085  +01 2.0    -01                                 1146000600024 
 1.520  -01 9.85   +00 2.0    -01                                 1146000600025 
 1.530  -01 1.017  +01 2.0    -01                                 1146000600026 
 1.540  -01 9.24   +00 2.0    -01                                 1146000600027 
 1.550  -01 9.50   +00 2.0    -01                                 1146000600028 
 1.560  -01 9.80   +00 2.0    -01                                 1146000600029 
 1.570  -01 1.097  +01 1.5    -01                                 1146000600030 
 1.580  -01 1.378  +01 2.0    -01                                 1146000600031 
 1.585  -01 1.443  +01 2.5    -01                                 1146000600032 
 1.590  -01 1.513  +01 2.5    -01                                 1146000600033 
 1.595  -01 1.492  +01 2.5    -01                                 1146000600034 
 1.600  -01 1.412  +01 2.5    -01                                 1146000600035 
 1.605  -01 1.240  +01 2.0    -01                                 1146000600036 
 1.610  -01 1.152  +01 2.0    -01                                 1146000600037 
 1.620  -01 9.72   +00 2.0    -01                                 1146000600038 
 1.630  -01 9.20   +00 2.0    -01                                 1146000600039 
 1.640  -01 7.97   +00 1.5    -01                                 1146000600040 
 1.650  -01 7.52   +00 1.5    -01                                 1146000600041 
 1.660  -01 6.95   +00 1.5    -01                                 1146000600042 
 1.670  -01 7.10   +00 1.5    -01                                 1146000600043 
 1.680  -01 6.15   +00 1.5    -01                                 1146000600044 
 1.690  -01 5.95   +00 1.5    -01                                 1146000600045 
 1.700  -01 5.70   +00 1.5    -01                                 1146000600046 
 1.710  -01 5.45   +00 1.2    -01                                 1146000600047 
 1.720  -01 5.25   +00 1.2    -01                                 1146000600048 
 1.730  -01 5.10   +00 1.0    -01                                 1146000600049 
 1.740  -01 4.87   +00 1.0    -01                                 1146000600050 
 1.750  -01 4.76   +00 1.0    -01                                 1146000600051 
 1.760  -01 4.70   +00 1.0    -01                                 1146000600052 
 1.770  -01 4.62   +00 1.0    -01                                 1146000600053 
 1.780  -01 4.33   +00 1.0    -01                                 1146000600054 
 1.790  -01 4.18   +00 1.0    -01                                 1146000600055 
 1.800  -01 4.55   +00 1.0    -01                                 1146000600056 
 1.980  -01 4.15   +00 1.0    -01                                 1146000600057 
 1.990  -01 4.27   +00 1.0    -01                                 1146000600058 
 2.000  -01 5.30   +00 1.0    -01                                 1146000600059 
 2.010  -01 5.84   +00 1.0    -01                                 1146000600060 
 2.020  -01 6.70   +00 1.0    -01                                 1146000600061 
 2.030  -01 6.97   +00 1.2    -01                                 1146000600062 
 2.040  -01 7.48   +00 1.5    -01                                 1146000600063 
 2.050  -01 7.77   +00 1.5    -01                                 1146000600064 
 2.060  -01 7.80   +00 1.5    -01                                 1146000600065 
 2.070  -01 7.48   +00 1.5    -01                                 1146000600066 
 2.080  -01 7.38   +00 1.5    -01                                 1146000600067 
 2.085  -01 7.20   +00 1.5    -01                                 1146000600068 
 2.090  -01 7.65   +00 1.5    -01                                 1146000600069 
 2.095  -01 6.72   +00 1.5    -01                                 1146000600070 
 2.100  -01 7.00   +00 1.5    -01                                 1146000600071 
 2.105  -01 6.47   +00 1.5    -01                                 1146000600072 
 2.110  -01 7.08   +00 1.5    -01                                 1146000600073 
 2.115  -01 6.30   +00 1.5    -01                                 1146000600074 
 2.120  -01 6.50   +00 1.5    -01                                 1146000600075 
 2.130  -01 6.25   +00 1.5    -01                                 1146000600076 
 2.140  -01 5.86   +00 1.5    -01                                 1146000600077 
 2.150  -01 5.83   +00 1.5    -01                                 1146000600078 
 2.160  -01 5.32   +00 1.5    -01                                 1146000600079 
 2.165  -01 5.12   +00 1.5    -01                                 1146000600080 
 2.170  -01 5.57   +00 1.5    -01                                 1146000600081 
 2.175  -01 5.40   +00 1.5    -01                                 1146000600082 
 2.180  -01 5.15   +00 1.5    -01                                 1146000600083 
 2.190  -01 4.83   +00 1.5    -01                                 1146000600084 
 2.200  -01 4.50   +00 1.1    -01                                 1146000600085 
 2.210  -01 4.61   +00 1.1    -01                                 1146000600086 
 2.220  -01 5.75   +00 1.2    -01                                 1146000600087 
 2.225  -01 5.90   +00 1.2    -01                                 1146000600088 
 2.230  -01 6.23   +00 1.2    -01                                 1146000600089 
 2.235  -01 5.33   +00 1.2    -01                                 1146000600090 
 2.240  -01 4.90   +00 9.     -02                                 1146000600091 
 2.245  -01 4.46   +00 8.     -02                                 1146000600092 
 2.550  -01 2.42   +00 9.     -02                                 1146000600093 
 2.560  -01 3.35   +00 9.     -02                                 1146000600094 
 2.570  -01 4.24   +00 1.1    -01                                 1146000600095 
 2.580  -01 4.02   +00 1.1    -01                                 1146000600096 
 2.590  -01 2.96   +00 9.     -02                                 1146000600097 
 2.600  -01 2.57   +00 9.     -02                                 1146000600098 
 2.770  -01 3.18   +00 1.0    -01                                 1146000600099 
 2.780  -01 3.95   +00 1.0    -01                                 1146000600100 
 2.790  -01 4.62   +00 1.3    -01                                 1146000600101 
 2.800  -01 5.32   +00 1.5    -01                                 1146000600102 
 2.810  -01 5.89   +00 1.5    -01                                 1146000600103 
 2.820  -01 6.11   +00 1.5    -01                                 1146000600104 
 2.830  -01 6.43   +00 1.5    -01                                 1146000600105 
 2.840  -01 6.72   +00 1.5    -01                                 1146000600106 
 2.850  -01 6.25   +00 1.5    -01                                 1146000600107 
 2.860  -01 6.40   +00 1.5    -01                                 1146000600108 
 2.870  -01 6.74   +00 1.5    -01                                 1146000600109 
 2.880  -01 5.76   +00 1.5    -01                                 1146000600110 
 2.890  -01 6.05   +00 1.5    -01                                 1146000600111 
 2.900  -01 5.53   +00 1.5    -01                                 1146000600112 
 2.910  -01 5.43   +00 1.5    -01                                 1146000600113 
 2.920  -01 5.64   +00 1.5    -01                                 1146000600114 
 2.930  -01 5.61   +00 1.5    -01                                 1146000600115 
 2.940  -01 5.27   +00 1.5    -01                                 1146000600116 
 2.950  -01 5.28   +00 1.5    -01                                 1146000600117 
 2.960  -01 4.88   +00 1.5    -01                                 1146000600118 
 2.970  -01 4.88   +00 1.6    -01                                 1146000600119 
 2.980  -01 4.84   +00 1.6    -01                                 1146000600120 
 2.990  -01 4.75   +00 1.6    -01                                 1146000600121 
 3.000  -01 4.92   +00 1.6    -01                                 1146000600122 
 3.010  -01 4.38   +00 1.6    -01                                 1146000600123 
 3.020  -01 4.56   +00 1.6    -01                                 1146000600124 
 3.030  -01 4.81   +00 1.6    -01                                 1146000600125 
 3.040  -01 4.47   +00 1.6    -01                                 1146000600126 
 3.050  -01 4.25   +00 1.6    -01                                 1146000600127 
 3.060  -01 4.60   +00 1.6    -01                                 1146000600128 
 3.070  -01 4.59   +00 1.6    -01                                 1146000600129 
 3.080  -01 4.18   +00 1.5    -01                                 1146000600130 
 3.090  -01 4.32   +00 1.5    -01                                 1146000600131 
 3.100  -01 4.70   +00 1.5    -01                                 1146000600132 
 3.110  -01 4.91   +00 1.5    -01                                 1146000600133 
 3.120  -01 5.09   +00 1.5    -01                                 1146000600134 
 3.130  -01 5.40   +00 1.5    -01                                 1146000600135 
 3.140  -01 5.46   +00 1.5    -01                                 1146000600136 
 3.150  -01 5.23   +00 1.5    -01                                 1146000600137 
 3.160  -01 5.25   +00 1.5    -01                                 1146000600138 
 3.170  -01 5.15   +00 1.5    -01                                 1146000600139 
 3.180  -01 4.72   +00 1.5    -01                                 1146000600140 
 3.190  -01 4.61   +00 1.5    -01                                 1146000600141 
 3.200  -01 4.42   +00 1.5    -01                                 1146000600142 
 3.210  -01 3.72   +00 1.5    -01                                 1146000600143 
 3.230  -01 3.81   +00 1.5    -01                                 1146000600144 
 3.240  -01 3.33   +00 1.5    -01                                 1146000600145 
 3.620  -01 3.33   +00 1.5    -01                                 1146000600146 
 3.630  -01 3.76   +00 1.5    -01                                 1146000600147 
 3.640  -01 3.75   +00 1.5    -01                                 1146000600148 
 3.650  -01 6.33   +00 1.8    -01                                 1146000600149 
 3.660  -01 7.72   +00 2.5    -01                                 1146000600150 
 3.670  -01 9.57   +00 2.5    -01                                 1146000600151 
 3.680  -01 9.15   +00 2.5    -01                                 1146000600152 
 3.690  -01 8.10   +00 2.5    -01                                 1146000600153 
 3.695  -01 7.10   +00 2.5    -01                                 1146000600154 
 3.700  -01 6.55   +00 2.2    -01                                 1146000600155 
 3.705  -01 6.03   +00 2.2    -01                                 1146000600156 
 3.710  -01 5.65   +00 2.2    -01                                 1146000600157 
 3.715  -01 5.22   +00 1.5    -01                                 1146000600158 
 3.717  -01 4.85   +00 1.5    -01                                 1146000600159 
 3.720  -01 4.97   +00 1.5    -01                                 1146000600160 
 3.725  -01 4.65   +00 1.5    -01                                 1146000600161 
 3.727  -01 4.63   +00 1.5    -01                                 1146000600162 
 3.730  -01 4.30   +00 1.5    -01                                 1146000600163 
 3.735  -01 4.92   +00 1.5    -01                                 1146000600164 
 3.737  -01 5.00   +00 1.5    -01                                 1146000600165 
 3.740  -01 4.68   +00 1.5    -01                                 1146000600166 
 3.745  -01 5.15   +00 1.5    -01                                 1146000600167 
 3.747  -01 5.45   +00 1.5    -01                                 1146000600168 
 3.750  -01 5.15   +00 1.5    -01                                 1146000600169 
 3.755  -01 5.63   +00 1.5    -01                                 1146000600170 
 3.757  -01 5.07   +00 1.5    -01                                 1146000600171 
 3.760  -01 5.28   +00 1.5    -01                                 1146000600172 
 3.765  -01 5.14   +00 1.2    -01                                 1146000600173 
 3.770  -01 4.14   +00 8.     -02                                 1146000600174 
 3.780  -01 3.20   +00 8.     -02                                 1146000600175 
 3.855  -01 2.24   +00 1.0    -01                                 1146000600176 
 3.860  -01 3.37   +00 1.2    -01                                 1146000600177 
 3.865  -01 4.07   +00 1.2    -01                                 1146000600178 
 3.870  -01 4.24   +00 1.2    -01                                 1146000600179 
 3.875  -01 4.10   +00 1.2    -01                                 1146000600180 
 3.880  -01 4.18   +00 1.2    -01                                 1146000600181 
 3.885  -01 4.10   +00 1.2    -01                                 1146000600182 
 3.890  -01 3.62   +00 1.2    -01                                 1146000600183 
 3.900  -01 3.42   +00 1.2    -01                                 1146000600184 
 3.910  -01 3.27   +00 1.2    -01                                 1146000600185 
 3.920  -01 3.32   +00 1.2    -01                                 1146000600186 
 3.930  -01 3.01   +00 1.2    -01                                 1146000600187 
 3.940  -01 3.08   +00 1.2    -01                                 1146000600188 
 4.080  -01 3.80   +00 1.5    -01                                 1146000600189 
 4.090  -01 3.92   +00 1.5    -01                                 1146000600190 
 4.100  -01 4.22   +00 1.5    -01                                 1146000600191 
 4.110  -01 4.32   +00 1.5    -01                                 1146000600192 
 4.120  -01 4.37   +00 1.5    -01                                 1146000600193 
 4.130  -01 4.90   +00 1.5    -01                                 1146000600194 
 4.140  -01 5.20   +00 1.5    -01                                 1146000600195 
 4.150  -01 5.38   +00 1.5    -01                                 1146000600196 
 4.160  -01 5.50   +00 1.5    -01                                 1146000600197 
 4.170  -01 5.12   +00 1.5    -01                                 1146000600198 
 4.180  -01 5.24   +00 1.5    -01                                 1146000600199 
 4.190  -01 5.58   +00 1.5    -01                                 1146000600200 
 4.195  -01 5.87   +00 1.0    -01                                 1146000600201 
 4.200  -01 6.51   +00 1.0    -01                                 1146000600202 
 4.205  -01 6.42   +00 1.0    -01                                 1146000600203 
 4.210  -01 5.60   +00 1.0    -01                                 1146000600204 
 4.220  -01 5.27   +00 1.0    -01                                 1146000600205 
 4.230  -01 5.32   +00 1.0    -01                                 1146000600206 
 4.240  -01 5.30   +00 1.0    -01                                 1146000600207 
 4.250  -01 5.36   +00 1.0    -01                                 1146000600208 
 4.260  -01 5.31   +00 1.0    -01                                 1146000600209 
 4.270  -01 5.10   +00 1.0    -01                                 1146000600210 
 4.280  -01 5.07   +00 1.0    -01                                 1146000600211 
 4.290  -01 5.03   +00 1.0    -01                                 1146000600212 
 4.300  -01 5.01   +00 9.     -02                                 1146000600213 
 4.310  -01 4.95   +00 9.     -02                                 1146000600214 
 4.320  -01 4.92   +00 9.     -02                                 1146000600215 
 4.330  -01 4.86   +00 9.     -02                                 1146000600216 
 4.340  -01 4.61   +00 9.     -02                                 1146000600217 
 4.350  -01 4.80   +00 9.     -02                                 1146000600218 
 4.360  -01 4.91   +00 9.     -02                                 1146000600219 
 4.370  -01 4.97   +00 9.     -02                                 1146000600220 
 4.380  -01 5.09   +00 9.     -02                                 1146000600221 
 4.390  -01 4.86   +00 9.     -02                                 1146000600222 
 4.400  -01 4.98   +00 9.     -02                                 1146000600223 
 4.410  -01 5.06   +00 9.     -02                                 1146000600224 
 4.420  -01 4.82   +00 9.     -02                                 1146000600225 
 4.430  -01 4.98   +00 9.     -02                                 1146000600226 
