ENTRY            D0858   20180109                             D113D085800000001 
SUBENT        D0858001   20180109                             D113D085800100001 
BIB                  8         12                                 D085800100002 
TITLE      The 56Fe(a,g)60Ni reaction at excitation energies      D085800100003 
           in the region of the giant dipole resonance            D085800100004 
AUTHOR     (G.S.Foote, D.Branford, R.A.I.Bell, R.B.Watson)        D085800100005 
INSTITUTE  (3AULCBR)                                              D085800100006 
REFERENCE  (J,NP/A,220,505,1974)                                  D085800100007 
           #doi:10.1016/0375-9474(74)90131-6                      D085800100008 
FACILITY   (VDGT,3AULCBR) EN tandem Van de Graaff accelerator.    D085800100009 
DETECTOR   (NAICR) 23.8x25.4 cm detector placed with its front    D085800100010 
           face 28 cm from the target was used for gamma          D085800100011 
           registration.                                          D085800100012 
METHOD     (BCINT,GSPEC)                                          D085800100013 
HISTORY    (20180109C) SS+On                                      D085800100014 
ENDBIB              12          0                                 D085800100015 
NOCOMMON             0          0                                 D085800100016 
ENDSUBENT           15          0                                 D085800199999 
SUBENT        D0858002   20180109                             D113D085800200001 
BIB                  5          9                                 D085800200002 
REACTION   (26-FE-56(A,G)28-NI-60,PAR,DA)                         D085800200003 
SAMPLE     (26-FE-56,ENR=0.985) Self-supporting targets with the  D085800200004 
           thicknesses of 88, 86, 218 and 97 mu-g/cm2 for         D085800200005 
           12.0-17.6, 8.0-9.0, 9.0-12.0, 11.0-11.4 MeV energy     D085800200006 
           intervals, respectively.                               D085800200007 
INC-SOURCE 0.3-0.8 mu-A beams of 4He++ ions.                      D085800200008 
ERR-ANALYS (ERR-S) Statistical error.                             D085800200009 
           (ERR-1) Error in the absolute values.                  D085800200010 
STATUS     (CURVE) Figure 2 from Nucl.Phys.A220,505(1974).        D085800200011 
ENDBIB               9          0                                 D085800200012 
COMMON               4          3                                 D085800200013 
ANG        ERR-1      EN-ERR-DIG ERR-DIG                          D085800200014 
                    1.      10.60      1.030    1.06840    0.12162D085800500122 
                    1.      10.60     30.375    1.02800    0.13514D085800500123 
                    1.      10.60     55.001    1.47400    0.18919D085800500124 
                    1.      10.60     90.635    1.35260    0.17568D085800500125 
                    1.      10.60    110.550    1.44730    0.16216D085800500126 
                    1.      10.60    125.220    1.23110    0.14865D085800500127 
                    1.      10.60    149.330    0.97447    0.13464D085800500128 
                    1.      10.95      0.161    0.49408    0.09459D085800500129 
                    1.      10.95     30.003    0.91425    0.13514D085800500130 
                    1.      10.95     55.142    1.13150    0.16584D085800500131 
                    1.      10.95     90.238    1.33570    0.17514D085800500132 
                    1.      10.95    110.160    1.22840    0.12162D085800500133 
                    1.      10.95    124.830    1.14790    0.13514D085800500134 
                    1.      10.95    149.470    0.98679    0.10861D085800500135 
                    1.      11.30      0.347    0.55993    0.10311D085800500136 
                    1.      11.30     29.681    0.76358    0.12162D085800500137 
                    1.      11.30     54.826    0.92655    0.14865D085800500138 
                    1.      11.30     89.928    1.07630    0.16214D085800500139 
                    1.      11.30    110.350    1.45540    0.17567D085800500140 
                    1.      11.30    125.030    1.11800    0.16216D085800500141 
                    1.      11.30    149.160    0.59177    0.12164D085800500142 
                    1.      11.50      0.020    0.96956    0.13513D085800500143 
                    1.      11.50     29.609    1.67390    0.18918D085800500144 
                    1.      11.50     54.234    1.71580    0.20273D085800500145 
                    1.      11.50     89.870    1.67720    0.20270D085800500146 
                    1.      11.50    109.770    1.77290    0.18918D085800500147 
                    1.      11.50    124.500    1.13860    0.13513D085800500148 
                    1.      11.50    148.600    1.22110    0.18921D085800500149 
                    1.      12.40      0.005    1.09980    0.21622D085800500150 
                    1.      12.40     30.356    2.18400    0.35140D085800500151 
                    1.      12.40     54.946    3.18650    0.43243D085800500152 
                    1.      12.40     90.038    3.62250    0.40571D085800500153 
                    1.      12.40    109.950    3.62460    0.40544D085800500154 
                    1.      12.40    125.150    3.51800    0.40545D085800500155 
                    1.      12.40    149.310    1.97990    0.24330D085800500156 
ENDDATA            142          0                                 D085800500157 
ENDSUBENT          156          0                                 D085800599999 
SUBENT        D0858006   20180109                             D113D085800600001 
BIB                  3          4                                 D085800600002 
REACTION   (26-FE-56(A,G)28-NI-60,PAR,DA,,LEG/RS)                 D085800600003 
ERR-ANALYS (DATA-ERR) No source of uncertainty is given.          D085800600004 
STATUS     (CURVE) Figure 7,8 from Nucl.Phys.A220,505(1974).      D085800600005 
           (DEP,D0858005) Angular differential cross section.     D085800600006 
ENDBIB               4          0                                 D085800600007 
COMMON               2          3                                 D085800600008 
EN-ERR-DIG ERR-DIG                                                D085800600009 
MEV        NO-DIM                                                 D085800600010 
     0.0098    0.00901                                            D085800600011 
ENDCOMMON            3          0                                 D085800600012 
DATA                 6         80                                 D085800600013 
E-LVL      LVL-NUMB   NUMBER     EN         DATA       DATA-ERR   D085800600014 
MEV        NO-DIM     NO-DIM     MEV        NO-DIM     NO-DIM     D085800600015 
         0.                    1.     8.6313    0.17721    0.09474D085800600016 
         0.                    1.     9.2360   -0.12638    0.06766D085800600017 
         0.                    1.     9.6384   -0.08315    0.07369D085800600018 
         0.                    1.     9.9872    0.18099    0.07616D085800600019 
         0.                    1.    10.2840    0.06602    0.06365D085800600020 
         0.                    1.    10.5810    0.08791    0.08429D085800600021 
         0.                    1.    10.9310   -0.00586    0.08865D085800600022 
         0.                    1.    11.2690    0.00561    0.08671D085800600023 
         0.                    1.    11.4810    0.18516    0.08574D085800600024 
         0.                    1.    12.3710    0.02974    0.08445D085800600025 
         0.                    2.     8.6318   -0.19303    0.12902D085800600026 
         0.                    2.     9.2361   -0.30906    0.07530D085800600027 
         0.                    2.     9.6488   -0.21077    0.12902D085800600028 
         0.                    2.     9.9774   -0.25256    0.07757D085800600029 
         0.                    2.    10.2850   -0.44496    0.08676D085800600030 
         0.                    2.    10.5810   -0.28258    0.10752D085800600031 
         0.                    2.    10.9310   -0.32430    0.08602D085800600032 
         0.                    2.    11.2810   -0.52729    0.12902D085800600033 
         0.                    2.    11.4820   -0.24700    0.09677D085800600034 
         0.                    2.    12.3830   -0.51246    0.10752D085800600035 
         0.                    3.     8.6505   -0.12343    0.18283D085800600036 
         0.                    3.     9.2430    0.11499    0.08602D085800600037 
         0.                    3.     9.6468   -0.30310    0.15054D085800600038 
         0.                    3.     9.9947    0.24638    0.09677D085800600039 
         0.                    3.    10.2920    0.03226    0.10753D085800600040 
         0.                    3.    10.5890    0.01169    0.13978D085800600041 
         0.                    3.    10.9390   -0.11624    0.13568D085800600042 
         0.                    3.    11.2870    0.39023    0.17204D085800600043 
         0.                    3.    11.5000   -0.21125    0.11828D085800600044 
         0.                    3.    12.3890    0.11412    0.12903D085800600045 
         0.                    4.     8.6437   -0.00103    0.18945D085800600046 
         0.                    4.     9.2478   -0.06182    0.10525D085800600047 
         0.                    4.     9.6497    0.07658    0.16640D085800600048 
         0.                    4.    10.0000   -0.15361    0.12630D085800600049 
         0.                    4.    10.2960   -0.05773    0.09468D085800600050 
         0.                    4.    10.6030    0.01715    0.14735D085800600051 
         0.                    4.    10.9530   -0.09727    0.12630D085800600052 
         0.                    4.    11.2930   -0.21172    0.15783D085800600053 
         0.                    4.    11.5040   -0.02144    0.12630D085800600054 
         0.                    4.    12.4050   -0.22843    0.16840D085800600055 
                    1.         1.     8.5581   -0.05156    0.07143D085800600056 
                    1.         1.     9.1072   -0.08528    0.06250D085800600057 
                    1.         1.     9.5477    0.07704    0.13393D085800600058 
                    1.         1.     9.9617    0.07854    0.08929D085800600059 
                    1.         1.    10.2590    0.01712    0.04464D085800600060 
                    1.         1.    10.5380    0.04492    0.06250D085800600061 
                    1.         1.    10.8800    0.14437    0.08036D085800600062 
                    1.         1.    11.2490   -0.05964    0.07143D085800600063 
                    1.         1.    11.4570   -0.12139    0.08036D085800600064 
                    1.         1.    12.3370    0.32824    0.08789D085800600065 
                    1.         2.     8.5572   -0.71250    0.09821D085800600066 
                    1.         2.     9.1064   -0.73754    0.07143D085800600067 
                    1.         2.     9.5476   -0.80756    0.19640D085800600068 
                    1.         2.     9.9711   -0.93121    0.09821D085800600069 
                    1.         2.    10.2770   -0.84095    0.06250D085800600070 
                    1.         2.    10.5370   -0.69727    0.07143D085800600071 
                    1.         2.    10.8790   -0.72296    0.10714D085800600072 
                    1.         2.    11.2670   -0.93601    0.09818D085800600073 
                    1.         2.    11.4640   -0.47111    0.09821D085800600074 
                    1.         2.    12.3560   -0.71826    0.14285D085800600075 
                    1.         3.     8.5729    0.07565    0.12343D085800600076 
                    1.         3.     9.1132   -0.02868    0.09700D085800600077 
                    1.         3.     9.6083   -0.06258    0.27337D085800600078 
                    1.         3.     9.9769    0.08835    0.10582D085800600079 
                    1.         3.    10.2830   -0.09599    0.07934D085800600080 
                    1.         3.    10.5530    0.10757    0.08818D085800600081 
                    1.         3.    10.8950    0.01152    0.12346D085800600082 
                    1.         3.    11.2740   -0.10208    0.10582D085800600083 
                    1.         3.    11.4710    0.16302    0.13228D085800600084 
                    1.         3.    12.3720   -0.36360    0.17634D085800600085 
                    1.         4.     8.5705   -0.31938    0.10717D085800600086 
                    1.         4.     9.0644   -0.02299    0.10794D085800600087 
                    1.         4.     9.5597   -0.07479    0.29462D085800600088 
                    1.         4.     9.9914    0.00710    0.11606D085800600089 
                    1.         4.    10.2880    0.07958    0.07142D085800600090 
                    1.         4.    10.5590   -0.13373    0.08928D085800600091 
                    1.         4.    10.9100   -0.11462    0.16070D085800600092 
                    1.         4.    11.2860    0.32420    0.10714D085800600093 
                    1.         4.    11.4950   -0.10361    0.11606D085800600094 
                    1.         4.    12.3850    0.23883    0.22323D085800600095 
ENDDATA             82          0                                 D085800600096 
ENDSUBENT           95          0                                 D085800699999 
ENDENTRY             6          0                                 D085899999999 
