ENTRY            D0078   20110912                             D080D007800000001 
SUBENT        D0078001   20110912                             D080D007800100001 
BIB                 10         25                                 D007800100002 
TITLE      Measurement of (p,p) elastic differential cross        D007800100003 
            sections fo carbon, nitrogen, oxygen, aluminium and   D007800100004 
            silicon in  the 500-2500 keV range at 140 deg and     D007800100005 
            178 deg laboratory scattering angles                  D007800100006 
AUTHOR     (A.R.Ramos, A.Paul, L.Rijniers, M.F.da Silva,          D007800100007 
            J.C.Soares)                                           D007800100008 
INSTITUTE  (2PRTLIS,2PRTLFE,2NEDENT)                              D007800100009 
REFERENCE  (J,NIM/B,190,95,2002)                                  D007800100010 
FACILITY   (VDG,2PRTLFE)                                          D007800100011 
SAMPLE     All samples were carefully investigated by 4He BS      D007800100012 
            experiments (EHe = 1600 and 2000 keV) to determine    D007800100013 
            the stoichiometry, layer thickness, homogeneity and   D007800100014 
            presence of impurities that could affect the results. D007800100015 
           All samples are natural.                               D007800100016 
DETECTOR   (SIBAR) The annular detector, a Si surface barrier     D007800100017 
             detector, accepts particles scattered at 178 deg.    D007800100018 
             effective scattering angle and has a solid angle     D007800100019 
             of 18 msr and an energy resolution of 20 keV.        D007800100020 
            Another Si surface barrier detector is located at     D007800100021 
             140 deg. in IBM geometry, with a solid angle of      D007800100022 
             3.4 msr and an energy resolution of 15 keV.          D007800100023 
STATUS     (APRVD) Proof-read by Ana Rita L.Ramos Whal(2011-09-14)D007800100024 
ERR-ANALYS (DATA-ERR) Due to Signal area and areal density        D007800100025 
HISTORY    (20040116C) SD                                         D007800100026 
           (20110908R) On. Revised data from Ana Rita L.Ramos WahlD007800100027 
ENDBIB              25          0                                 D007800100028 
NOCOMMON             0          0                                 D007800100029 
ENDSUBENT           28          0                                 D007800199999 
SUBENT        D0078002   20110912                             D080D007800200001 
BIB                  4         14                                 D007800200002 
REACTION  1(13-AL-27(P,EL)13-AL-27,,DA,,RTH)                      D007800200003 
          2(13-AL-27(P,EL)13-AL-27,,DA)                           D007800200004 
SAMPLE     Aluminium and nitrogen where measured simultaneously   D007800200005 
            using a (1350+-70)x10**15/cm2 thick AlN film,         D007800200006 
            reactive sputter deposited over a vitreous graphite   D007800200007 
            substrate.                                            D007800200008 
           Over the AlN film, a gold layer (55 +-5)xl0**15/cm2    D007800200009 
            thick was evaporated.                                 D007800200010 
           4He BS experiments showed that the film was            D007800200011 
            stoichiometric (49 at.% N and 48 at.% Al).            D007800200012 
           Minor impurities of 0 (2.5 at. %) and Cu (0.5 at. %)   D007800200013 
            were detected.                                        D007800200014 
STATUS     (TABLE) Fig.4 of Nucl.Instrum.Meth.B190(2002)95        D007800200015 
HISTORY    (20110912A) On. STATUS added                           D007800200016 
ENDBIB              14          0                                 D007800200017 
NOCOMMON             0          0                                 D007800200018 
DATA                 5        322                                 D007800200019 
ANG        EN         DATA      1DATA      2DATA-ERR  2           D007800200020 
ADEG       KEV        NO-DIM     B/SR       B/SR                  D007800200021 
 140.       1757.      12.011     0.198      0.2321     0.0038    D007800300053 
 140.       1766.       8.752     0.140      0.1673     0.0027    D007800300054 
 140.       1775.       7.124     0.112      0.1348     0.0021    D007800300055 
 140.       1786.       6.320     0.113      0.1181     0.0021    D007800300056 
 140.       1796.       5.607     0.121      0.1037     0.0022    D007800300057 
 140.       1806.       5.438     0.120      0.0994     0.0022    D007800300058 
 140.       1816.       5.487     0.119      0.0991     0.0022    D007800300059 
 140.       1826.       5.255     0.110      0.0939     0.0020    D007800300060 
 140.       1836.       5.372     0.118      0.0950     0.0021    D007800300061 
 140.       1845.       5.426     0.109      0.0950     0.0019    D007800300062 
 140.       1855.       5.619     0.110      0.0973     0.0019    D007800300063 
 140.       1866.       5.643     0.103      0.0966     0.0018    D007800300064 
 140.       1876.       5.726     0.094      0.0970     0.0016    D007800300065 
 140.       1891.       5.970     0.122      0.0995     0.0020    D007800300066 
 140.       1895.       6.187     0.119      0.1026     0.0020    D007800300067 
 140.       1906.       6.135     0.112      0.1007     0.0018    D007800300068 
 140.       1946.       6.657     0.104      0.1047     0.0016    D007800300069 
 140.       1996.       7.124     0.113      0.1065     0.0017    D007800300070 
 140.       2046.       7.232     0.111      0.1029     0.0016    D007800300071 
 140.       2096.       8.053     0.111      0.1092     0.0015    D007800300072 
 140.       2146.       8.206     0.121      0.1061     0.0016    D007800300073 
 140.       2196.       8.581     0.137      0.1059     0.0017    D007800300074 
 140.       2296.       9.454     0.150      0.1067     0.0017    D007800300075 
 140.       2395.       9.825     0.156      0.1019     0.0016    D007800300076 
 140.       2495.      10.376     0.189      0.0991     0.0018    D007800300077 
 178.        493.       3.166     0.014      0.6193     0.0028    D007800300078 
 178.        542.       2.648     0.016      0.4264     0.0026    D007800300079 
 178.        593.       2.616     0.018      0.3505     0.0024    D007800300080 
 178.        643.       2.609     0.017      0.2967     0.0020    D007800300081 
 178.        693.       2.713     0.017      0.2650     0.0017    D007800300082 
 178.        744.       2.781     0.018      0.2352     0.0015    D007800300083 
 178.        845.       3.341     0.024      0.2189     0.0015    D007800300084 
 178.        894.       3.530     0.027      0.2060     0.0016    D007800300085 
 178.        945.       3.643     0.028      0.1903     0.0015    D007800300086 
 178.        995.       3.929     0.029      0.1849     0.0014    D007800300087 
 178.       1044.       4.183     0.029      0.1785     0.0012    D007800300088 
 178.       1094.       4.462     0.032      0.1732     0.0013    D007800300089 
 178.       1145.       4.829     0.031      0.1711     0.0011    D007800300090 
 178.       1195.       5.028     0.026      0.1636     0.0009    D007800300091 
 178.       1246.       5.547     0.035      0.1660     0.0011    D007800300092 
 178.       1294.       5.841     0.044      0.1618     0.0012    D007800300093 
 178.       1396.       6.912     0.045      0.1645     0.0011    D007800300094 
 178.       1445.       7.973     0.057      0.1770     0.0013    D007800300095 
 178.       1495.       8.432     0.063      0.1748     0.0013    D007800300096 
 178.       1544.       8.630     0.065      0.1676     0.0013    D007800300097 
 178.       1595.       9.915     0.067      0.1805     0.0012    D007800300098 
 178.       1646.       7.770     0.048      0.1328     0.0008    D007800300099 
 178.       1655.       5.857     0.038      0.0990     0.0006    D007800300100 
 178.       1665.       2.781     0.019      0.0464     0.0003    D007800300101 
 178.       1675.       0.742     0.007      0.0122     0.0001    D007800300102 
 178.       1686.       4.677     0.024      0.0761     0.0004    D007800300103 
 178.       1695.      13.987     0.08       0.2253     0.0013    D007800300104 
 178.       1696.      15.470     0.084      0.2489     0.0013    D007800300105 
 178.       1704.      30.764     0.192      0.4901     0.0031    D007800300106 
 178.       1711.      44.141     0.292      0.6974     0.0046    D007800300107 
 178.       1716.      51.497     0.33       0.8095     0.0052    D007800300108 
 178.       1720.      58.320     0.419      0.9120     0.0065    D007800300109 
 178.       1724.      62.335     0.394      0.9700     0.0061    D007800300110 
 178.       1731.      62.591     0.413      0.9669     0.0064    D007800300111 
 178.       1736.      57.259     0.415      0.8793     0.0064    D007800300112 
 178.       1745.      43.448     0.305      0.6600     0.0046    D007800300113 
 178.       1757.      23.783     0.165      0.3567     0.0025    D007800300114 
 178.       1766.      13.433     0.096      0.1992     0.0014    D007800300115 
 178.       1775.       8.812     0.066      0.1294     0.0010    D007800300116 
 178.       1786.       5.390     0.052      0.0782     0.0008    D007800300117 
 178.       1796.       3.721     0.048      0.0534     0.0007    D007800300118 
 178.       1806.       2.933     0.042      0.0416     0.0006    D007800300119 
 178.       1816.       2.432     0.037      0.0341     0.0005    D007800300120 
 178.       1826.       2.453     0.036      0.0340     0.0005    D007800300121 
 178.       1836.       2.428     0.038      0.0333     0.0005    D007800300122 
 178.       1845.       2.769     0.037      0.0376     0.0005    D007800300123 
 178.       1855.       2.877     0.038      0.0387     0.0005    D007800300124 
 178.       1866.       2.940     0.036      0.0390     0.0005    D007800300125 
 178.       1876.       3.438     0.036      0.0452     0.0005    D007800300126 
 178.       1891.       3.369     0.044      0.0436     0.0006    D007800300127 
 178.       1895.       3.756     0.045      0.0483     0.0006    D007800300128 
 178.       1906.       3.920     0.044      0.0499     0.0006    D007800300129 
 178.       1946.       4.760     0.044      0.0581     0.0005    D007800300130 
 178.       1996.       5.502     0.05       0.0638     0.0006    D007800300131 
 178.       2046.       5.828     0.051      0.0643     0.0006    D007800300132 
 178.       2096.       7.043     0.055      0.0741     0.0006    D007800300133 
 178.       2146.       7.262     0.059      0.0729     0.0006    D007800300134 
 178.       2196.       7.929     0.068      0.0760     0.0007    D007800300135 
 178.       2296.       8.313     0.072      0.0728     0.0006    D007800300136 
 178.       2395.       9.018     0.078      0.0726     0.0006    D007800300137 
 178.       2495.      10.248     0.098      0.0760     0.0007    D007800300138 
ENDDATA            124          0                                 D007800300139 
ENDSUBENT          138          0                                 D007800399999 
SUBENT        D0078004   20110912                             D080D007800400001 
BIB                  4         14                                 D007800400002 
REACTION  1(7-N-14(P,EL)7-N-14,,DA,,RTH)                          D007800400003 
          2(7-N-14(P,EL)7-N-14,,DA)                               D007800400004 
SAMPLE     Aluminium and nitrogen where measured simultaneously   D007800400005 
            using a (1350+-70)x10**15/cm2 thick AlN film,         D007800400006 
            reactive sputter deposited over a vitreous graphite   D007800400007 
            substrate.                                            D007800400008 
           Over the AlN film, a gold layer (55 +-5)xl0**15/cm2    D007800400009 
            thick was evaporated.                                 D007800400010 
           4He BS experiments showed that the film was            D007800400011 
            stoichiometric (49 at.% N and 48 at.% Al).            D007800400012 
           Minor impurities of 0 (2.5 at. %) and Cu (0.5 at. %)   D007800400013 
            were detected.                                        D007800400014 
STATUS     (TABLE) Fig.2 of Nucl.Instrum.Meth.B190(2002)95        D007800400015 
HISTORY    (20110912A) On. STATUS added                           D007800400016 
ENDBIB              14          0                                 D007800400017 
NOCOMMON             0          0                                 D007800400018 
DATA                 5        315                                 D007800400019 
ANG        EN         DATA      1DATA      2DATA-ERR  2           D007800400020 
ADEG       KEV        NO-DIM     B/SR       B/SR                  D007800400021 
 140.        498.       0.869     0.2849     0.0036               D007800400022 
 140.        528.       0.896     0.2614     0.0033               D007800400023 
 140.        558.       0.993     0.2591     0.0034               D007800400024 
 140.        588.       1.047     0.2460     0.0032               D007800400025 
 140.        618.       1.085     0.2306     0.0025               D007800400026 
 140.        648.       1.110     0.2145     0.0024               D007800400027 
 140.        678.       1.094     0.1932     0.0019               D007800400028 
 140.        708.       1.172     0.1897     0.0023               D007800400029 
 140.        739.       1.163     0.1730     0.0021               D007800400030 
 140.        769.       1.186     0.1628     0.0018               D007800400031 
 140.        798.       1.223     0.1557     0.0020               D007800400032 
 140.        829.       1.338     0.1581     0.0020               D007800400033 
 140.        849.       1.295     0.1458     0.0019               D007800400034 
 140.        859.       1.243     0.1365     0.0013               D007800400035 
 140.        868.       1.178     0.1266     0.0015               D007800400036 
 140.        878.       1.243     0.1307     0.0017               D007800400037 
 140.        889.       1.269     0.1302     0.0016               D007800400038 
 140.        899.       1.313     0.1318     0.0015               D007800400039 
 140.        909.       1.275     0.1251     0.0016               D007800400040 
 140.        919.       1.201     0.1153     0.0015               D007800400041 
 140.        932.       1.194     0.1114     0.0014               D007800400042 
 140.        958.       1.151     0.1016     0.0013               D007800400043 
 140.        979.       1.186     0.1003     0.0013               D007800400044 
 140.       1000.       1.200     0.0973     0.0012               D007800400045 
 140.       1004.       1.190     0.0956     0.0012               D007800400046 
 140.       1009.       1.098     0.0875     0.0010               D007800400047 
 140.       1014.       1.098     0.0866     0.0011               D007800400048 
 140.       1018.       1.105     0.0863     0.0011               D007800400049 
 140.       1023.       1.093     0.0846     0.0010               D007800400050 
 140.       1029.       1.102     0.0843     0.0010               D007800400051 
 140.       1034.       1.121     0.0850     0.0011               D007800400052 
 140.       1039.       1.157     0.0868     0.0009               D007800400053 
 140.       1044.       1.006     0.0747     0.0008               D007800400054 
 140.       1049.       0.911     0.0671     0.0006               D007800400055 
 140.       1053.       1.503     0.1098     0.0014               D007800400056 
 140.       1058.       2.015     0.1458     0.0019               D007800400057 
 140.       1064.       1.691     0.1209     0.0017               D007800400058 
 140.       1069.       1.473     0.1043     0.0013               D007800400059 
 140.       1074.       1.442     0.1013     0.0013               D007800400060 
 140.       1079.       1.261     0.0877     0.0011               D007800400061 
 140.       1084.       1.407     0.0970     0.0011               D007800400062 
 140.       1089.       1.371     0.0936     0.0011               D007800400063 
 140.       1094.       1.431     0.0968     0.0012               D007800400064 
 140.       1100.       1.360     0.0910     0.0011               D007800400065 
 140.       1139.       1.471     0.0918     0.0012               D007800400066 
 140.       1167.       1.609     0.0957     0.0012               D007800400067 
 140.       1218.       1.663     0.0907     0.0011               D007800400068 
 140.       1259.       1.685     0.0861     0.0011               D007800400069 
 140.       1299.       1.797     0.0863     0.0011               D007800400070 
 140.       1340.       1.878     0.0848     0.0012               D007800400071 
 140.       1349.       2.067     0.0920     0.0019               D007800400072 
 140.       1380.       1.947     0.0828     0.0011               D007800400073 
 140.       1399.       1.932     0.0800     0.0016               D007800400074 
 140.       1409.       1.907     0.0778     0.0011               D007800400075 
 140.       1418.       1.840     0.0741     0.0011               D007800400076 
 140.       1429.       1.914     0.0759     0.0011               D007800400077 
 140.       1438.       1.946     0.0762     0.0010               D007800400078 
 140.       1449.       1.884     0.0727     0.0010               D007800400079 
 140.       1458.       1.898     0.0722     0.0011               D007800400080 
 140.       1468.       1.800     0.0676     0.0010               D007800400081 
 140.       1479.       1.907     0.0705     0.0009               D007800400082 
 140.       1489.       1.915     0.0699     0.0010               D007800400083 
 140.       1498.       1.873     0.0675     0.0014               D007800400084 
 140.       1499.       1.867     0.0673     0.0010               D007800400085 
 140.       1509.       1.583     0.0563     0.0008               D007800400086 
 140.       1519.       1.569     0.0550     0.0008               D007800400087 
 140.       1529.       1.425     0.0493     0.0007               D007800400088 
 140.       1534.       1.399     0.0481     0.0006               D007800400089 
 140.       1540.       1.431     0.0489     0.0007               D007800400090 
 140.       1544.       2.126     0.0722     0.0010               D007800400091 
 140.       1548.       2.128     0.0718     0.0010               D007800400092 
 140.       1558.       2.993     0.0997     0.0013               D007800400093 
 140.       1565.       3.103     0.1025     0.0016               D007800400094 
 140.       1569.       3.168     0.1041     0.0015               D007800400095 
 140.       1573.       3.106     0.1016     0.0016               D007800400096 
 140.       1579.       3.054     0.0991     0.0015               D007800400097 
 140.       1588.       3.043     0.0976     0.0015               D007800400098 
 140.       1599.       3.041     0.0963     0.0018               D007800400099 
 140.       1599.       3.048     0.0965     0.0013               D007800400100 
 140.       1609.       3.020     0.0944     0.0014               D007800400101 
 140.       1618.       2.898     0.0895     0.0014               D007800400102 
 140.       1629.       3.071     0.0937     0.0015               D007800400103 
 140.       1639.       2.970     0.0894     0.0014               D007800400104 
 140.       1649.       2.981     0.0887     0.0020               D007800400105 
 140.       1655.       2.762     0.0816     0.0012               D007800400106 
 140.       1659.       2.974     0.0874     0.0014               D007800400107 
 140.       1663.       2.945     0.0861     0.0012               D007800400108 
 140.       1668.       2.974     0.0865     0.0014               D007800400109 
 140.       1679.       3.054     0.0876     0.0011               D007800400110 
 140.       1690.       3.092     0.0876     0.0014               D007800400111 
 140.       1699.       3.146     0.0882     0.0021               D007800400112 
 140.       1708.       3.067     0.0851     0.0012               D007800400113 
 140.       1719.       3.145     0.0861     0.0013               D007800400114 
 140.       1724.       3.147     0.0857     0.0013               D007800400115 
 140.       1728.       3.411     0.0924     0.0013               D007800400116 
 140.       1735.       5.467     0.1470     0.0021               D007800400117 
 140.       1739.       4.663     0.1247     0.0019               D007800400118 
 140.       1744.       2.723     0.0724     0.0011               D007800400119 
 140.       1749.       2.666     0.0705     0.0011               D007800400120 
 140.       1753.       2.674     0.0704     0.0011               D007800400121 
 140.       1760.       2.933     0.0766     0.0012               D007800400122 
 140.       1765.       3.006     0.0781     0.0013               D007800400123 
 140.       1769.       2.902     0.0750     0.0012               D007800400124 
 140.       1774.       3.102     0.0798     0.0012               D007800400125 
 140.       1778.       2.995     0.0766     0.0012               D007800400126 
 140.       1784.       3.005     0.0764     0.0012               D007800400127 
 140.       1789.       3.098     0.0783     0.0011               D007800400128 
 140.       1795.       3.163     0.0794     0.0012               D007800400129 
 140.       1799.       2.954     0.0739     0.0017               D007800400130 
 140.       1800.       2.837     0.0708     0.0011               D007800400131 
 140.       1804.       2.887     0.0718     0.0011               D007800400132 
 140.       1814.       3.001     0.0738     0.0011               D007800400133 
 140.       1825.       3.119     0.0758     0.0011               D007800400134 
 140.       1834.       3.178     0.0764     0.0012               D007800400135 
 140.       1849.       3.241     0.0767     0.0012               D007800400136 
 140.       1899.       3.177     0.0713     0.0023               D007800400137 
 140.       1901.       3.204     0.0717     0.0009               D007800400138 
 140.       1950.       3.323     0.0707     0.0011               D007800400139 
 140.       1951.       3.507     0.0746     0.0021               D007800400140 
 140.       2000.       3.411     0.0690     0.0018               D007800400141 
 140.       2024.       3.432     0.0678     0.0010               D007800400142 
 140.       2050.       3.414     0.0657     0.0009               D007800400143 
 140.       2074.       3.575     0.0672     0.0010               D007800400144 
 140.       2099.       3.559     0.0653     0.0010               D007800400145 
 140.       2123.       3.689     0.0662     0.0008               D007800400146 
 140.       2149.       3.946     0.0691     0.0017               D007800400147 
 140.       2150.       3.931     0.0688     0.0009               D007800400148 
 140.       2174.       3.922     0.0671     0.0010               D007800400149 
 140.       2199.       4.228     0.0707     0.0015               D007800400150 
 140.       2200.       4.122     0.0689     0.0011               D007800400151 
 140.       2224.       4.463     0.0730     0.0011               D007800400152 
 140.       2249.       4.470     0.0715     0.0012               D007800400153 
 140.       2274.       4.939     0.0772     0.0010               D007800400154 
 140.       2299.       5.549     0.0849     0.0022               D007800400155 
 140.       2324.       5.710     0.0855     0.0012               D007800400156 
 140.       2349.       9.423     0.1381     0.0037               D007800400157 
 140.       2350.       6.183     0.0906     0.0014               D007800400158 
 140.       2354.       7.875     0.1149     0.0022               D007800400159 
 140.       2358.       9.175     0.1334     0.0023               D007800400160 
 140.       2361.       9.018     0.1308     0.0017               D007800400161 
 140.       2369.       8.554     0.1233     0.0019               D007800400162 
 140.       2374.       7.714     0.1107     0.0014               D007800400163 
 140.       2378.       7.329     0.1048     0.0017               D007800400164 
 140.       2384.       7.491     0.1066     0.0017               D007800400165 
 140.       2389.       7.149     0.1013     0.0018               D007800400166 
 140.       2395.       7.802     0.1100     0.0021               D007800400167 
 140.       2398.       7.117     0.1001     0.0032               D007800400168 
 140.       2399.       7.612     0.1070     0.0014               D007800400169 
 140.       2424.       7.402     0.1019     0.0014               D007800400170 
 140.       2450.       7.159     0.0965     0.0012               D007800400171 
 140.       2466.       6.581     0.0876     0.0016               D007800400172 
 140.       2474.       5.846     0.0772     0.0009               D007800400173 
 140.       2484.       5.768     0.0756     0.0017               D007800400174 
 140.       2498.       8.034     0.1041     0.0025               D007800400175 
 140.       2500.       8.584     0.1111     0.0020               D007800400176 
 178.        499.       0.704     0.1790     0.0012               D007800400177 
 178.        529.       0.755     0.1708     0.0012               D007800400178 
 178.        559.       0.869     0.1760     0.0012               D007800400179 
 178.        589.       0.955     0.1742     0.0011               D007800400180 
 178.        599.       0.836     0.1474     0.0011               D007800400181 
 178.        618.       0.862     0.1423     0.0008               D007800400182 
 178.        649.       1.024     0.1536     0.0009               D007800400183 
 178.        678.       0.962     0.1320     0.0007               D007800400184 
 178.        698.       0.892     0.1154     0.0009               D007800400185 
 178.        709.       0.945     0.1188     0.0008               D007800400186 
 178.        739.       1.000     0.1155     0.0007               D007800400187 
 178.        769.       0.902     0.0962     0.0006               D007800400188 
 178.        798.       0.959     0.0949     0.0007               D007800400189 
 178.        799.       1.049     0.1037     0.0008               D007800400190 
 178.        829.       0.988     0.0907     0.0006               D007800400191 
 178.        849.       1.075     0.0940     0.0007               D007800400192 
 178.        859.       0.898     0.0766     0.0004               D007800400193 
 178.        868.       0.894     0.0747     0.0005               D007800400194 
 178.        878.       0.893     0.0729     0.0005               D007800400195 
 178.        889.       1.083     0.0864     0.0006               D007800400196 
 178.        899.       1.022     0.0798     0.0005               D007800400197 
 178.        909.       1.084     0.0827     0.0005               D007800400198 
 178.        919.       1.051     0.0785     0.0005               D007800400199 
 178.        949.       1.146     0.0802     0.0007               D007800400200 
 178.        958.       1.036     0.0711     0.0004               D007800400201 
 178.        979.       0.829     0.0545     0.0004               D007800400202 
 178.       1000.       0.960     0.0605     0.0004               D007800400203 
 178.       1004.       1.200     0.0750     0.0004               D007800400204 
 178.       1009.       1.213     0.0751     0.0004               D007800400205 
 178.       1014.       1.000     0.0613     0.0003               D007800400206 
 178.       1018.       1.089     0.0662     0.0004               D007800400207 
 178.       1023.       1.004     0.0604     0.0003               D007800400208 
 178.       1030.       1.142     0.0679     0.0003               D007800400209 
 178.       1034.       1.181     0.0696     0.0004               D007800400210 
 178.       1039.       1.191     0.0695     0.0003               D007800400211 
 178.       1044.       0.868     0.0501     0.0002               D007800400212 
 178.       1049.       0.987     0.0565     0.0002               D007800400213 
 178.       1053.       1.662     0.0944     0.0005               D007800400214 
 178.       1058.       2.069     0.1164     0.0007               D007800400215 
 178.       1064.       1.773     0.0986     0.0006               D007800400216 
 178.       1070.       1.372     0.0756     0.0004               D007800400217 
 178.       1074.       1.332     0.0728     0.0004               D007800400218 
 178.       1079.       1.321     0.0715     0.0004               D007800400219 
 178.       1084.       1.355     0.0726     0.0003               D007800400220 
 178.       1089.       1.509     0.0801     0.0004               D007800400221 
 178.       1094.       1.445     0.0760     0.0004               D007800400222 
 178.       1099.       1.484     0.0774     0.0008               D007800400223 
 178.       1100.       1.265     0.0659     0.0003               D007800400224 
 178.       1139.       1.329     0.0645     0.0003               D007800400225 
 178.       1149.       1.431     0.0683     0.0008               D007800400226 
 178.       1167.       1.238     0.0572     0.0003               D007800400227 
 178.       1199.       1.504     0.0659     0.0007               D007800400228 
 178.       1219.       1.655     0.0702     0.0003               D007800400229 
 178.       1249.       1.360     0.0549     0.0006               D007800400230 
 178.       1259.       1.763     0.0701     0.0004               D007800400231 
 178.       1299.       1.686     0.0630     0.0007               D007800400232 
 178.       1340.       1.278     0.0448     0.0002               D007800400233 
 178.       1349.       1.836     0.0635     0.0007               D007800400234 
 178.       1380.       1.959     0.0648     0.0003               D007800400235 
 178.       1399.       1.842     0.0593     0.0006               D007800400236 
 178.       1409.       1.857     0.0589     0.0003               D007800400237 
 178.       1418.       2.265     0.0709     0.0004               D007800400238 
 178.       1429.       2.021     0.0623     0.0003               D007800400239 
 178.       1438.       1.081     0.0329     0.0001               D007800400240 
 178.       1449.       1.719     0.0516     0.0003               D007800400241 
 178.       1458.       1.783     0.0528     0.0003               D007800400242 
 178.       1468.       1.871     0.0546     0.0003               D007800400243 
 178.       1479.       1.979     0.0570     0.0003               D007800400244 
 178.       1489.       2.046     0.0581     0.0003               D007800400245 
 178.       1498.       1.702     0.0477     0.0005               D007800400246 
 178.       1499.       1.836     0.0515     0.0003               D007800400247 
 178.       1509.       1.772     0.0490     0.0002               D007800400248 
 178.       1519.       1.762     0.0481     0.0002               D007800400249 
 178.       1529.       1.647     0.0443     0.0002               D007800400250 
 178.       1534.       1.697     0.0454     0.0002               D007800400251 
 178.       1540.       1.717     0.0456     0.0002               D007800400252 
 178.       1544.       2.369     0.0626     0.0003               D007800400253 
 178.       1549.       2.376     0.0624     0.0003               D007800400254 
 178.       1558.       3.239     0.0840     0.0004               D007800400255 
 178.       1565.       3.087     0.0794     0.0005               D007800400256 
 178.       1569.       3.259     0.0834     0.0005               D007800400257 
 178.       1573.       3.027     0.0770     0.0005               D007800400258 
 178.       1579.       3.349     0.0845     0.0005               D007800400259 
 178.       1588.       2.656     0.0663     0.0004               D007800400260 
 178.       1599.       3.170     0.0781     0.0007               D007800400261 
 178.       1609.       2.951     0.0717     0.0004               D007800400262 
 178.       1618.       3.142     0.0755     0.0005               D007800400263 
 178.       1629.       2.607     0.0619     0.0004               D007800400264 
 178.       1639.       2.741     0.0642     0.0004               D007800400265 
 178.       1649.       2.860     0.0662     0.0004               D007800400266 
 178.       1655.       3.338     0.0767     0.0004               D007800400267 
 178.       1660.       3.174     0.0726     0.0005               D007800400268 
 178.       1663.       3.332     0.0758     0.0004               D007800400269 
 178.       1668.       3.335     0.0754     0.0005               D007800400270 
 178.       1679.       3.577     0.0799     0.0004               D007800400271 
 178.       1690.       2.942     0.0648     0.0004               D007800400272 
 178.       1699.       3.201     0.0698     0.0008               D007800400273 
 178.       1708.       2.585     0.0558     0.0003               D007800400274 
 178.       1719.       2.327     0.0496     0.0003               D007800400275 
 178.       1724.       2.463     0.0522     0.0003               D007800400276 
 178.       1728.       2.771     0.0584     0.0004               D007800400277 
 178.       1735.       6.493     0.1358     0.0008               D007800400278 
 178.       1739.       5.766     0.1200     0.0007               D007800400279 
 178.       1749.       2.451     0.0504     0.0006               D007800400280 
 178.       1753.       2.025     0.0415     0.0002               D007800400281 
 178.       1760.       2.566     0.0522     0.0003               D007800400282 
 178.       1765.       2.456     0.0496     0.0003               D007800400283 
 178.       1769.       2.804     0.0564     0.0004               D007800400284 
 178.       1774.       2.825     0.0565     0.0003               D007800400285 
 178.       1778.       3.071     0.0611     0.0004               D007800400286 
 178.       1784.       3.400     0.0672     0.0004               D007800400287 
 178.       1789.       3.193     0.0628     0.0004               D007800400288 
 178.       1795.       3.374     0.0659     0.0004               D007800400289 
 178.       1799.       2.885     0.0561     0.0007               D007800400290 
 178.       1800.       3.030     0.0588     0.0004               D007800400291 
 178.       1804.       3.029     0.0586     0.0003               D007800400292 
 178.       1814.       3.300     0.0631     0.0004               D007800400293 
 178.       1825.       3.335     0.0631     0.0004               D007800400294 
 178.       1834.       3.665     0.0686     0.0004               D007800400295 
 178.       1849.       3.506     0.0646     0.0004               D007800400296 
 178.       1899.       3.545     0.0619     0.0010               D007800400297 
 178.       1901.       3.563     0.0621     0.0003               D007800400298 
 178.       1950.       4.391     0.0727     0.0004               D007800400299 
 178.       1951.       3.944     0.0652     0.0009               D007800400300 
 178.       2000.       4.047     0.0637     0.0008               D007800400301 
 178.       2024.       4.510     0.0693     0.0004               D007800400302 
 178.       2050.       4.057     0.0607     0.0010               D007800400303 
 178.       2074.       4.166     0.0610     0.0004               D007800400304 
 178.       2099.       4.291     0.0613     0.0009               D007800400305 
 178.       2123.       4.310     0.0602     0.0003               D007800400306 
 178.       2149.       4.996     0.0681     0.0008               D007800400307 
 178.       2150.       5.719     0.0779     0.0003               D007800400308 
 178.       2174.       6.052     0.0806     0.0004               D007800400309 
 178.       2199.       5.204     0.0677     0.0007               D007800400310 
 178.       2200.       5.716     0.0743     0.0004               D007800400311 
 178.       2224.       6.200     0.0789     0.0004               D007800400312 
 178.       2249.       6.711     0.0835     0.0004               D007800400313 
 178.       2274.       7.447     0.0906     0.0004               D007800400314 
 178.       2299.       8.725     0.1039     0.0005               D007800400315 
 178.       2324.       9.575     0.1116     0.0005               D007800400316 
 178.       2349.      13.364     0.1524     0.0019               D007800400317 
 178.       2350.       8.665     0.0988     0.0005               D007800400318 
 178.       2354.      10.729     0.1218     0.0008               D007800400319 
 178.       2358.      13.316     0.1507     0.0009               D007800400320 
 178.       2361.      11.577     0.1307     0.0006               D007800400321 
 178.       2369.      11.237     0.1260     0.0007               D007800400322 
 178.       2374.      11.508     0.1285     0.0006               D007800400323 
 178.       2378.      11.121     0.1238     0.0005               D007800400324 
 178.       2384.       9.746     0.1079     0.0005               D007800400325 
 178.       2389.      10.135     0.1118     0.0006               D007800400326 
 178.       2395.      10.463     0.1148     0.0007               D007800400327 
 178.       2398.       9.264     0.1014     0.0015               D007800400328 
 178.       2399.      10.226     0.1118     0.0005               D007800400329 
 178.       2424.      10.028     0.1074     0.0004               D007800400330 
 178.       2450.       9.499     0.0996     0.0003               D007800400331 
 178.       2466.       9.150     0.0947     0.0004               D007800400332 
 178.       2474.       7.714     0.0793     0.0002               D007800400333 
 178.       2484.       8.369     0.0854     0.0004               D007800400334 
