ENTRY            M0114   20210404                             M111M0114  0    1 
SUBENT        M0114001   20210404                             M111M0114  1    1 
BIB                 12         22                                 M0114  1    2 
TITLE      Photonuclear reactions on Li-6 with charged-particles  M0114  1    3 
            emission.                                             M0114  1    4 
AUTHOR     (V.P.Denisov,L.A.Kul'chitskii,I.Ya.Chubukov)           M0114  1    5 
INSTITUTE  (4RUSFTI)                                              M0114  1    6 
REFERENCE  (J,IZV,37,107,1973)                                    M0114  1    7 
           (J,BAS,37,(1),94,1973)                                 M0114  1    8 
           English translation of J,IZV,37,107,1973.              M0114  1    9 
FACILITY   (SYNCH,4RUSFTI)                                        M0114  1   10 
SAMPLE     (3-LI-6,ENR=0.90) 8.2mg/cm2 foil of metallic lithium.  M0114  1   11 
INC-SOURCE (BRST)                                                 M0114  1   12 
METHOD     (EXTB,SITA)                                            M0114  1   13 
DETECTOR   (TELES,PROPC,NAICR)                                    M0114  1   14 
COMMENT    2-20 MeV protons, 3-20 MeV deuterons, and 4-20 MeV     M0114  1   15 
            tritons were recorded.                                M0114  1   16 
ERR-ANALYS (ERR-S) Statistical errors.                            M0114  1   17 
HISTORY    (19840420C)                                            M0114  1   18 
           (19910202A) Corrected by V.Varlamov, V.Mclane.         M0114  1   19 
           (20130604A) Corrected   by   V.Varlamov:   REFERENCE,  M0114  1   20 
            dates, REACTION, STATUS, lowercase.                   M0114  1   21 
           (20210404A) Corrected by SD and VV: COMMENT, SAMPLE    M0114  1   22 
            added, INC-SOURCE, SUBENTs 002-007; 008-010, 011-012  M0114  1   23 
            merged, corrections in all SUBENTs.                   M0114  1   24 
ENDBIB              22          0                                 M0114  1   25 
COMMON               1          3                                 M0114  1   26 
ANG                                                               M0114  1   27 
ADEG                                                              M0114  1   28 
    90.                                                           M0114  1   29 
ENDCOMMON            3          0                                 M0114  1   30 
ENDSUBENT           29          0                                 M0114  199999 
SUBENT        M0114002   20210404                             M111M0114  2    1 
BIB                  3          6                                 M0114  2    2 
REACTION   (3-LI-6(G,P)2-HE-5,PAR,DA,,BRA/REL)                    M0114  2    3 
STATUS     (CURVE) fig.1 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114  2    4 
HISTORY    (20130531A) Corrected by V.Varlamov: BRS deleted.      M0114  2    5 
           (20210404A) Corrected by SD and VV: REACTION,          M0114  2    6 
            CRITOQUE deleted, DATA from SUBENTs 003-007 wadded,   M0114  2    7 
            STATUS updated.                                       M0114  2    8 
ENDBIB               6          0                                 M0114  2    9 
NOCOMMON             0          0                                 M0114  2   10 
DATA                 5        212                                 M0114  2   11 
E-MIN      E-MAX      EN-MAX     DATA       ERR-S                 M0114  2   12 
      33.12       0.27       0.03                                 M0114 15   22 
      33.64       0.29       0.03                                 M0114 15   23 
      34.36       0.32       0.03                                 M0114 15   24 
      34.82       0.34       0.03                                 M0114 15   25 
      35.57       0.36       0.04                                 M0114 15   26 
      35.98       0.37       0.04                                 M0114 15   27 
      36.86       0.39       0.04                                 M0114 15   28 
      37.31       0.40       0.04                                 M0114 15   29 
      38.43       0.41       0.04                                 M0114 15   30 
      38.99       0.42       0.04                                 M0114 15   31 
      40.06       0.41       0.04                                 M0114 15   32 
      40.60       0.41       0.05                                 M0114 15   33 
      41.68       0.40       0.06                                 M0114 15   34 
      42.29       0.38       0.06                                 M0114 15   35 
      43.32       0.35       0.07                                 M0114 15   36 
      43.96       0.34       0.07                                 M0114 15   37 
      44.86       0.30       0.08                                 M0114 15   38 
      45.28       0.28       0.09                                 M0114 15   39 
      46.03       0.25       0.09                                 M0114 15   40 
      46.39       0.22       0.10                                 M0114 15   41 
      47.08       0.19       0.09                                 M0114 15   42 
ENDDATA             28          0                                 M0114 15   43 
ENDSUBENT           42          0                                 M0114 1599999 
SUBENT        M0114016   20210404                             M111M0114 16    1 
BIB                  3          5                                 M0114 16    2 
REACTION   (3-LI-6(G,X)1-H-2,PAR,DA,,BRA/REL)                     M0114 16    3 
STATUS     (CURVE) Fig.4 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114 16    4 
HISTORY    (20130531A) Corrected by V.Varlamov: BRS  - BRA.       M0114 16    5 
           (20210404A) Corrected by SD and VV: REACTION,          M0114 16    6 
            STATUS updated.                                       M0114 16    7 
ENDBIB               5          0                                 M0114 16    8 
COMMON               1          3                                 M0114 16    9 
E-MIN                                                             M0114 16   10 
MEV                                                               M0114 16   11 
     4.                                                           M0114 16   12 
ENDCOMMON            3          0                                 M0114 16   13 
DATA                 3         16                                 M0114 16   14 
EN-MAX     DATA       ERR-S                                       M0114 16   15 
MEV        ARB-UNITS  ARB-UNITS                                   M0114 16   16 
       29.0       0.13       0.14                                 M0114 16   17 
       29.9       0.07       0.17                                 M0114 16   18 
       31.0       0.01       0.13                                 M0114 16   19 
       32.0       0.03       0.14                                 M0114 16   20 
       34.1       0.34       0.14                                 M0114 16   21 
       36.2       0.97       0.16                                 M0114 16   22 
       38.2       1.12       0.18                                 M0114 16   23 
       40.3       1.51       0.18                                 M0114 16   24 
       42.4       1.87       0.20                                 M0114 16   25 
       44.4       1.93       0.17                                 M0114 16   26 
       46.6       2.19       0.19                                 M0114 16   27 
       48.6       2.49       0.20                                 M0114 16   28 
       50.7       2.18       0.21                                 M0114 16   29 
       52.6       2.07       0.20                                 M0114 16   30 
       54.7       2.04       0.19                                 M0114 16   31 
       56.8       1.79       0.24                                 M0114 16   32 
ENDDATA             18          0                                 M0114 16   33 
ENDSUBENT           32          0                                 M0114 1699999 
SUBENT        M0114017   20210404                             M111M0114 17    1 
BIB                  3          5                                 M0114 17    2 
REACTION   (3-LI-6(G,X)1-H-3,PAR,DA,,4PI)                         M0114 17    3 
STATUS     (CURVE) Fig.4 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114 17    4 
HISTORY    (20130531A) Corrected by V.Varlamov: BRS deleted.      M0114 17    5 
           (20210404U) Corrected by SD and VV: REACTION,          M0114 17    6 
            ANALYSIS, STATUS updated.                             M0114 17    7 
ENDBIB               5          0                                 M0114 17    8 
COMMON               1          3                                 M0114 17    9 
E-MIN                                                             M0114 17   10 
MEV                                                               M0114 17   11 
     4.                                                           M0114 17   12 
ENDCOMMON            3          0                                 M0114 17   13 
DATA                 3         25                                 M0114 17   14 
EN         DATA       ERR-S                                       M0114 17   15 
MEV        MB         MB                                          M0114 17   16 
      30.68       0.10       0.02                                 M0114 17   17 
      31.03       0.11       0.02                                 M0114 17   18 
      31.56       0.14       0.02                                 M0114 17   19 
      31.86       0.15       0.02                                 M0114 17   20 
      32.40       0.17       0.02                                 M0114 17   21 
      32.88       0.19       0.02                                 M0114 17   22 
      33.50       0.21       0.02                                 M0114 17   23 
      34.00       0.23       0.03                                 M0114 17   24 
      34.63       0.26       0.03                                 M0114 17   25 
      35.07       0.27       0.03                                 M0114 17   26 
      35.79       0.29       0.03                                 M0114 17   27 
      36.47       0.30       0.02                                 M0114 17   28 
      37.46       0.31       0.02                                 M0114 17   29 
      38.29       0.31       0.02                                 M0114 17   30 
      39.30       0.31       0.02                                 M0114 17   31 
      39.99       0.31       0.03                                 M0114 17   32 
      40.89       0.30       0.03                                 M0114 17   33 
      41.61       0.30       0.03                                 M0114 17   34 
      42.53       0.28       0.03                                 M0114 17   35 
      43.42       0.26       0.03                                 M0114 17   36 
      44.05       0.25       0.04                                 M0114 17   37 
      44.99       0.21       0.04                                 M0114 17   38 
      45.72       0.19       0.05                                 M0114 17   39 
      46.86       0.14       0.06                                 M0114 17   40 
      47.37       0.11       0.07                                 M0114 17   41 
ENDDATA             27          0                                 M0114 17   42 
ENDSUBENT           41          0                                 M0114 1799999 
SUBENT        M0114018   20210404                             M111M0114 18    1 
BIB                  3          5                                 M0114 18    2 
REACTION   (3-LI-6(G,X)1-H-3,PAR,DA,,BRA/REL)                     M0114 18    3 
STATUS     (CURVE) Fig.4 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114 18    4 
HISTORY    (20130531A) Corrected by V.Varlamov: BRS -> BRA.       M0114 18    5 
           (20210404A) Corrected by SD and VV: REACTION,          M0114 18    6 
            STATUS updated.                                       M0114 18    7 
ENDBIB               5          0                                 M0114 18    8 
COMMON               1          3                                 M0114 18    9 
E-MIN                                                             M0114 18   10 
MEV                                                               M0114 18   11 
     4.                                                           M0114 18   12 
ENDCOMMON            3          0                                 M0114 18   13 
DATA                 3         26                                 M0114 18   14 
EN-MAX     DATA       ERR-S                                       M0114 18   15 
MEV        ARB-UNITS  ARB-UNITS                                   M0114 18   16 
       29.1       0.06       0.11                                 M0114 18   17 
       30.2       0.15       0.13                                 M0114 18   18 
       31.1       0.29       0.13                                 M0114 18   19 
       32.2       0.50       0.15                                 M0114 18   20 
       33.4       0.42       0.23                                 M0114 18   21 
       34.3       0.48       0.13                                 M0114 18   22 
       35.4       0.42       0.13                                 M0114 18   23 
       36.4       0.36       0.13                                 M0114 18   24 
       37.4       0.62       0.28                                 M0114 18   25 
       38.4       0.85       0.14                                 M0114 18   26 
       39.4       0.92       0.23                                 M0114 18   27 
       40.4       1.22       0.12                                 M0114 18   28 
       41.4       1.23       0.22                                 M0114 18   29 
       42.5       1.51       0.15                                 M0114 18   30 
       43.6       1.52       0.19                                 M0114 18   31 
       44.4       1.65       0.15                                 M0114 18   32 
       45.6       1.64       0.32                                 M0114 18   33 
       46.7       1.60       0.14                                 M0114 18   34 
       47.6       1.99       0.28                                 M0114 18   35 
       48.6       1.95       0.15                                 M0114 18   36 
       50.8       2.12       0.16                                 M0114 18   37 
       52.8       1.93       0.12                                 M0114 18   38 
       53.7       1.69       0.25                                 M0114 18   39 
       54.8       1.57       0.13                                 M0114 18   40 
       55.7       1.28       0.22                                 M0114 18   41 
       56.8       1.24       0.27                                 M0114 18   42 
ENDDATA             28          0                                 M0114 18   43 
ENDSUBENT           42          0                                 M0114 1899999 
SUBENT        M0114019   20210404                             M111M0114 19    1 
BIB                  3          5                                 M0114 19    2 
REACTION   (3-LI-6(G,T)2-HE-3,PAR,DA,,4PI)                        M0114 19    3 
STATUS     (CURVE) Fig.5 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114 19    4 
HISTORY    (20130531A) Corrected by V.Varlamov: BRA deleted,      M0114 19    5 
            PAR, E-MIN, COMMON added.                             M0114 19    6 
           (20210404U) Corrected  by SD and VV: STATUS updated.   M0114 19    7 
ENDBIB               5          0                                 M0114 19    8 
COMMON               1          3                                 M0114 19    9 
E-MIN                                                             M0114 19   10 
MEV                                                               M0114 19   11 
   4.                                                             M0114 19   12 
ENDCOMMON            3          0                                 M0114 19   13 
DATA                 3         27                                 M0114 19   14 
EN         DATA       ERR-S                                       M0114 19   15 
MEV        MB         MB                                          M0114 19   16 
    25.1        0.33       0.04                                   M0114 19   17 
    25.9        0.35       0.04                                   M0114 19   18 
    26.69       0.37       0.05                                   M0114 19   19 
    27.51       0.32       0.03                                   M0114 19   20 
    28.33       0.22       0.04                                   M0114 19   21 
    29.05       0.2        0.03                                   M0114 19   22 
    29.85       0.08       0.02                                   M0114 19   23 
    30.65       0.12       0.02                                   M0114 19   24 
    31.44       0.11       0.02                                   M0114 19   25 
    32.22       0.13       0.02                                   M0114 19   26 
    33.05       0.07       0.01                                   M0114 19   27 
    33.84       0.08       0.01                                   M0114 19   28 
    34.63       0.11       0.02                                   M0114 19   29 
    35.43       0.08       0.02                                   M0114 19   30 
    36.23       0.10       0.02                                   M0114 19   31 
    37.01       0.09       0.02                                   M0114 19   32 
    37.82       0.07       0.02                                   M0114 19   33 
    38.64       0.06       0.02                                   M0114 19   34 
    39.37       0.07       0.02                                   M0114 19   35 
    40.17       0.05       0.02                                   M0114 19   36 
    40.96       0.05       0.02                                   M0114 19   37 
    41.77       0.02       0.02                                   M0114 19   38 
    42.54       0.04       0.02                                   M0114 19   39 
    43.31       0.05       0.02                                   M0114 19   40 
    44.33       0.06       0.01                                   M0114 19   41 
    46.07       0.02       0.01                                   M0114 19   42 
    49.61       0.01       0.01                                   M0114 19   43 
ENDDATA             29          0                                 M0114 19   44 
ENDSUBENT           43          0                                 M0114 1999999 
SUBENT        M0114020   20210404                             M111M0114 20    1 
BIB                  4          7                                 M0114 20    2 
REACTION   (3-LI-6(G,X)1-H-1,,DA/DE,,BRA/REL)                     M0114 20    3 
COMMENT    Energy distributions were measures at 36 values of     M0114 20    4 
            EN-MAX from 20 to 57 MeV, for protons above 43 MeV.   M0114 20    5 
STATUS     (CURVE) Fig.7 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114 20    6 
HISTORY    (20130531A) Corrected by V.Varlamov: BRA deleted.      M0114 20    7 
           (20210404U) Corrected by SD and VV: REACTION, COMMON,  M0114 20    8 
            STATUS updated.                                       M0114 20    9 
ENDBIB               7          0                                 M0114 20   10 
COMMON               2          3                                 M0114 20   11 
EN-MIN     EN-MAX                                                 M0114 20   12 
MEV        MEV                                                    M0114 20   13 
     43.        57.                                               M0114 20   14 
ENDCOMMON            3          0                                 M0114 20   15 
DATA                 3         10                                 M0114 20   16 
E          DATA       ERR-S                                       M0114 20   17 
MEV        ARB-UNITS  ARB-UNITS                                   M0114 20   18 
        2.7       22.1        4.0                                 M0114 20   19 
        3.5       12.2        2.0                                 M0114 20   20 
        4.5        6.3        1.8                                 M0114 20   21 
        5.5        5.6        2.3                                 M0114 20   22 
        6.5        5.5        1.8                                 M0114 20   23 
        7.5        4.0        1.5                                 M0114 20   24 
        8.5        3.9        1.4                                 M0114 20   25 
        9.5        2.4        2.4                                 M0114 20   26 
       10.5        2.0        1.7                                 M0114 20   27 
       11.5        1.8        1.5                                 M0114 20   28 
ENDDATA             12          0                                 M0114 20   29 
ENDSUBENT           28          0                                 M0114 2099999 
SUBENT        M0114021   20210404                             M111M0114 21    1 
BIB                  4          7                                 M0114 21    2 
REACTION   (3-LI-6(G,X)1-H-2,,DA/DE,,BRA/REL)                     M0114 21    3 
COMMENT    Energy distributions were measures at 36 values of     M0114 21    4 
            EN-MAX from 20 to 57 MeV.                             M0114 21    5 
STATUS     (CURVE) Fig.7 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114 21    6 
HISTORY    (20130531A) Corrected by V.Varlamov: BRA deleted.      M0114 21    7 
           (20210404A) Corrected by SD and VV: REACTION, COMMENT, M0114 21    8 
            COMMON, STATUS updated.                               M0114 21    9 
ENDBIB               7          0                                 M0114 21   10 
COMMON               2          3                                 M0114 21   11 
EN-MIN     EN-MAX                                                 M0114 21   12 
MEV        MEV                                                    M0114 21   13 
     20.        57.                                               M0114 21   14 
ENDCOMMON            3          0                                 M0114 21   15 
DATA                 3         12                                 M0114 21   16 
E          DATA       ERR-S                                       M0114 21   17 
MEV        ARB-UNITS  ARB-UNITS                                   M0114 21   18 
        3.5        8.0        2.4                                 M0114 21   19 
        4.5        7.2        1.4                                 M0114 21   20 
        5.5        6.1        0.8                                 M0114 21   21 
        6.5        4.1        0.4                                 M0114 21   22 
        7.5        3.4        0.5                                 M0114 21   23 
        8.5        2.8        0.5                                 M0114 21   24 
        9.5        1.1        0.5                                 M0114 21   25 
       10.5        1.2        0.4                                 M0114 21   26 
       11.5        1.8        0.4                                 M0114 21   27 
       12.5        1.0        0.4                                 M0114 21   28 
       13.5        0.3        0.4                                 M0114 21   29 
       14.5        0.5        0.4                                 M0114 21   30 
ENDDATA             14          0                                 M0114 21   31 
ENDSUBENT           30          0                                 M0114 2199999 
SUBENT        M0114022   20210404                             M111M0114 22    1 
BIB                  4          7                                 M0114 22    2 
REACTION   (3-LI-6(G,X)1-H-3,,DA/DE,,BRA/REL)                     M0114 22    3 
COMMENT    Energy distributions were measures at 36 values of     M0114 22    4 
            EN-MAX from 20 to 57 MeV.                             M0114 22    5 
STATUS     (CURVE) Fig.7 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114 22    6 
HISTORY    (20130531A) Corrected by V.Varlamov: BRA deleted.      M0114 22    7 
           (20210404A) Corrected by SD and VV: REACTION, COMMON,  M0114 22    8 
            STATUS updated.                                       M0114 22    9 
ENDBIB               7          0                                 M0114 22   10 
COMMON               2          3                                 M0114 22   11 
EN-MIN     EN-MAX                                                 M0114 22   12 
MEV        MEV                                                    M0114 22   13 
     20.        57.                                               M0114 22   14 
ENDCOMMON            3          0                                 M0114 22   15 
DATA                 3          7                                 M0114 22   16 
E          DATA       ERR-S                                       M0114 22   17 
MEV        ARB-UNITS  ARB-UNITS                                   M0114 22   18 
        4.6        8.5        1.5                                 M0114 22   19 
        5.6        4.7        0.9                                 M0114 22   20 
        6.6        3.1        0.8                                 M0114 22   21 
        7.6        2.5        0.6                                 M0114 22   22 
        8.5        2.1        0.6                                 M0114 22   23 
        9.5        1.1        0.5                                 M0114 22   24 
       10.5        0.3        0.4                                 M0114 22   25 
ENDDATA              9          0                                 M0114 22   26 
ENDSUBENT           25          0                                 M0114 2299999 
ENDENTRY            22          0                                 M011499999999 
